Player,Team,G,MP,PTS,FGA,PTS_per_Play,TS_Pct,eFG_Pct,FT_Rate,Three_Pt_Rate,AST,AST_to_FGA_Ratio,AST_to_TO_Ratio,PPR,STL,BLK,PF,Player_Link,Team_Link,Season,League,DX_Player_ID,DX_Team_ID
Carlos Cherry,Sevilla,2,13.8,7.0,3.0,1.56,0.81,0.67,1.00,0.67,0.50,0.17,0.00,2.43,0.5,0.0,2.0,/profile/Carlos-Cherry-36611/,/stats/acb/2003/Sevilla,2003,acb,Carlos-Cherry-36611,Sevilla
Alessandro De Pol,Gran Canaria,11,13.6,4.3,3.7,0.80,0.47,0.37,0.49,0.27,0.55,0.15,0.75,-2.65,0.6,0.3,1.8,/profile/Alessandro-De-Pol-35366/,/stats/acb/2003/Gran%20Canaria,2003,acb,Alessandro-De-Pol-35366,Gran%20Canaria
Jordi Trias,Girona,23,13.5,5.3,4.2,0.89,0.55,0.51,0.32,0.16,0.43,0.10,0.43,-5.32,0.5,0.7,1.1,/profile/Jordi-Trias-5555/,/stats/acb/2003/Girona,2003,acb,Jordi-Trias-5555,Girona
James Forrest,Malaga,1,13.5,2.0,7.0,0.25,0.13,0.14,0.29,0.00,0.00,0.00,0.00,0.00,0.0,0.0,2.0,/profile/James-Forrest-35506/,/stats/acb/2003/Malaga,2003,acb,James-Forrest-35506,Malaga
Berni Rodriguez,Malaga,37,13.3,3.4,3.3,0.77,0.47,0.43,0.21,0.55,1.46,0.44,1.93,1.68,0.5,0.0,2.3,/profile/Berni-Rodriguez-35766/,/stats/acb/2003/Malaga,2003,acb,Berni-Rodriguez-35766,Malaga
Rafael Vidaurreta,Estudiantes,34,13.3,3.7,3.4,0.72,0.45,0.41,0.48,0.05,0.12,0.03,0.13,-6.20,0.5,0.2,2.7,/profile/Rafael-Vidaurreta-36345/,/stats/acb/2003/Estudiantes,2003,acb,Rafael-Vidaurreta-36345,Estudiantes
Salva Guardia,Sevilla,16,13.2,4.6,4.0,0.74,0.48,0.44,0.48,0.17,0.06,0.02,0.05,-9.73,0.4,0.2,1.9,/profile/Salva-Guardia-36409/,/stats/acb/2003/Sevilla,2003,acb,Salva-Guardia-36409,Sevilla
Thierry Zig,Granada,9,13.1,5.1,5.1,0.79,0.49,0.49,0.04,0.57,0.89,0.17,0.73,-4.71,0.3,0.0,1.9,/profile/Thierry-Zig-36482/,/stats/acb/2003/Granada,2003,acb,Thierry-Zig-36482,Granada
M.C. Mazique,Granada,3,13.1,1.0,4.3,0.19,0.11,0.08,0.15,0.31,0.00,0.00,0.00,-5.00,0.0,1.0,1.3,/profile/M.C.-Mazique-36233/,/stats/acb/2003/Granada,2003,acb,M.C.-Mazique-36233,Granada
Roberto Nunez,Real Madrid,10,12.9,4.3,3.6,1.00,0.57,0.54,0.11,0.86,1.00,0.28,2.00,1.29,0.5,0.2,1.3,/profile/Roberto-Nunez-35591/,/stats/acb/2003/Real%20Madrid,2003,acb,Roberto-Nunez-35591,Real%20Madrid
Jacobo Odriozola,Valladolid,26,12.9,4.6,3.4,1.00,0.62,0.58,0.19,0.70,0.35,0.10,0.43,-4.48,0.5,0.0,1.9,/profile/Jacobo-Odriozola-36063/,/stats/acb/2003/Valladolid,2003,acb,Jacobo-Odriozola-36063,Valladolid
Albert Sabat,Girona,1,12.8,3.0,4.0,0.75,0.38,0.38,0.00,0.75,2.00,0.50,0.00,10.58,0.0,0.0,2.0,/profile/Albert-Sabat-36557/,/stats/acb/2003/Girona,2003,acb,Albert-Sabat-36557,Girona
Salva Camps,Gran Canaria,3,12.8,9.0,3.7,1.29,0.79,0.77,1.27,0.82,0.67,0.18,0.67,-4.33,0.0,0.0,2.3,/profile/Salva-Camps-36408/,/stats/acb/2003/Gran%20Canaria,2003,acb,Salva-Camps-36408,Gran%20Canaria
Xavi Fernandez,Girona,24,12.7,6.9,4.3,1.17,0.69,0.66,0.38,0.55,1.21,0.28,1.53,0.11,0.4,0.1,1.8,/profile/Xavi-Fernandez-36536/,/stats/acb/2003/Girona,2003,acb,Xavi-Fernandez-36536,Girona
Pedro Fernandez,Fuenlabrada,33,12.6,3.9,3.2,0.82,0.51,0.49,0.38,0.02,0.15,0.05,0.18,-5.77,0.1,0.1,2.6,/profile/Pedro-Fernandez-36320/,/stats/acb/2003/Fuenlabrada,2003,acb,Pedro-Fernandez-36320,Fuenlabrada
German Gabriel,Estudiantes,39,12.5,6.0,5.2,0.88,0.50,0.44,0.35,0.24,0.28,0.05,0.42,-3.77,0.3,0.3,1.4,/profile/German-Gabriel-35973/,/stats/acb/2003/Estudiantes,2003,acb,German-Gabriel-35973,Estudiantes
Rafael Jofresa,Joventut,36,12.4,4.3,2.7,0.92,0.60,0.50,0.77,0.54,1.50,0.56,1.64,0.67,0.6,0.0,1.2,/profile/Rafael-Jofresa-37007/,/stats/acb/2003/Joventut,2003,acb,Rafael-Jofresa-37007,Joventut
