Player,Year,Draft_Pick,Ht_No_Shoes,Ht_Shoes,Wingspan,Standing_reach,Max_Vert,Max_Vert_Reach,No_Step_Vert,No_Step_Vert_Reach,Weight,Body_Fat,Hand_Length,Hang_Width,Bench,Agility,Sprint,Player_Link,DX_Player_ID
"
						
							Josh Brown
						
					",2012,-,"6'1 ½""",-,"6'7 ¾""","8'3 ½""",-,-,-,-,176,-,-,-,-,-,-,/profile/Josh-Brown-72568/,Josh-Brown-72568
"
						
							Isaiah Lewis
						
					",2012,-,"6'1 ½""",-,"6'2""","7'11""",-,-,-,-,158,-,-,-,-,-,-,/profile/Isaiah-Lewis-70156/,Isaiah-Lewis-70156
"
						
							Dominique Matthews
						
					",2012,-,"6'1 ½""",-,"6'5 ½""","8'2 ½""",-,-,-,-,174,-,-,-,-,-,-,/profile/Dominique-Matthews-88121/,Dominique-Matthews-88121
"
						
							D'Erryl Williams
						
					",2012,-,"6'1 ½""",-,"6'6 ¾""","8'3""",-,-,-,-,196,-,-,-,-,-,-,/profile/D-Erryl-Williams-77798/,D-Erryl-Williams-77798
"
						
							Marcus Thornton
						
					",2015,45,"6'1 ½""",-,"6'7 ½""","8'2 ½""",-,-,"32.5""","10'11""",179,-,-,-,-,11.19,3.31,/profile/Marcus-Thornton-42147/,Marcus-Thornton-42147
"
						
							Xavier Munford
						
					",2015,-,"6'1 ½""","6'2 ¾""","6'4 ½""","8'2 ½""","35""","11'1 ½""","27""","10'5 ½""",174,-,-,-,-,11.67,3.36,/profile/Xavier-Munford-65404/,Xavier-Munford-65404
"
						
							Aleksej Nikolic
						
					",2015,-,"6'1 ½""","6'2 ½""","6'4""","8'1 ½""","32.5""","10'10""","26.5""","10'4""",186,-,-,-,-,11.86,3.34,/profile/Aleksej-Nikolic-6395/,Aleksej-Nikolic-6395
"
						
							JaQuori McLaughlin
						
					",2015,-,"6'1 ½""",-,"6'3 ½""","8'0 ½""","39""","11'3 ½""","30.5""","10'7""",168,-,-,-,-,11.25,3.32,/profile/JaQuori-McLaughlin-92232/,JaQuori-McLaughlin-92232
"
						
							Troy Baxter
						
					",2015,-,"6'1 ½""",-,"6'9""","8'8""","37.5""","11'9 ½""","30.5""","11'2 ½""",186,-,-,-,-,14.33,3.2,/profile/Troy-Baxter-90207/,Troy-Baxter-90207
"
						
							Jemarl Baker
						
					",2015,-,"6'1 ½""",-,"6'5 ½""","8'2 ½""","29.5""","10'8""","23.5""","10'2""",168,-,-,-,-,11.76,3.36,/profile/Jemarl-Baker-90656/,Jemarl-Baker-90656
