Player,Year,Draft_Pick,Ht_No_Shoes,Ht_Shoes,Wingspan,Standing_reach,Max_Vert,Max_Vert_Reach,No_Step_Vert,No_Step_Vert_Reach,Weight,Body_Fat,Hand_Length,Hang_Width,Bench,Agility,Sprint,Player_Link,DX_Player_ID
"
						
							Luke Harangody
						
					",2009,52,"6'6 ¼""","6'8""","6'9 ¾""","8'10""","31""","11'5""","27""","11'1""",240,11.2,"8.75""","9.75""",23,11.15,3.33,/profile/Luke-Harangody-5063/,Luke-Harangody-5063
"
						
							Damion James
						
					",2009,24,"6'6 ¼""","6'7 ½""","7'0 ¾""","8'10""","37""","11'11""","30""","11'4""",224,8.2,"9.25""","8.5""",14,11.23,3.09,/profile/Damion-James-1074/,Damion-James-1074
"
						
							Trevor Booker
						
					",2010,23,"6'6 ¼""","6'7 ½""","6'9 ¾""","8'10""","36""","11'10""","31""","11'5""",236,7.3,"9""","9.5""",22,11.15,3.1,/profile/Trevor-Booker-1305/,Trevor-Booker-1305
"
						
							Wesley Johnson
						
					",2010,4,"6'6 ¼""","6'7 ¼""","7'1""","8'10""","37""","11'11""","32""","11'6""",206,4.6,"9""","9.5""",16,11.43,3.14,/profile/Wesley-Johnson-1215/,Wesley-Johnson-1215
"
						
							Josh Carter
						
					",2009,-,"6'6 ¼""","6'7""","6'11 ½""",-,-,-,-,-,195,-,-,-,-,-,-,/profile/Josh-Carter-1251/,Josh-Carter-1251
"
						
							Alex Ruoff
						
					",2009,-,"6'6 ¼""","6'8""","6'7 ¼""",-,-,-,-,-,211,-,-,-,-,-,-,/profile/Alex-Ruoff-5322/,Alex-Ruoff-5322
"
						
							Kahiem Seawright
						
					",2009,-,"6'6 ¼""","6'7 ½""","7'0 ¾""",-,-,-,-,-,236,-,-,-,-,-,-,/profile/Kahiem-Seawright-23161/,Kahiem-Seawright-23161
"
						
							Jimmy Butler
						
					",2011,30,"6'6 ¼""",-,"6'8""","8'5""",-,-,"31""","11'0""",215,-,-,-,-,11.3,3.31,/profile/Jimmy-Butler-6315/,Jimmy-Butler-6315
"
						
							Delroy James
						
					",2011,-,"6'6 ¼""",-,"7'2""","8'9""",-,-,"27""","11'0""",225,-,-,-,-,11.77,3.27,/profile/Delroy-James-17783/,Delroy-James-17783
"
						
							Christophe Leonard
						
					",2012,-,"6'6 ¼""","6'7 ¼""","7'0""","8'9 ½""","31""","11'4 ½""","26.5""","11'0""",215,-,-,-,-,12.24,3.35,/profile/Christophe-Leonard-6319/,Christophe-Leonard-6319
"
						
							Lester Abram
						
					",2007,-,"6'6 ¼""","6'7 ½""","6'8 ¾""",-,-,-,-,-,206,-,-,-,-,-,-,/profile/Lester-Abram-308/,Lester-Abram-308
"
						
							Johannes Lischka
						
					",2009,-,"6'6 ¼""","6'7 ½""","6'9""","8'7""","27""","10'10""","24""","10'7""",241,-,-,-,-,-,3.87,/profile/Johannes-Lischka-45009/,Johannes-Lischka-45009
"
						
							Robert Covington
						
					",2013,-,"6'6 ¼""",-,"7'2""","8'10""",-,-,-,-,210,-,-,-,-,-,-,/profile/Robert-Covington-17037/,Robert-Covington-17037
"
						
							Richard Howell
						
					",2013,-,"6'6 ¼""","6'7 ½""","6'10 ¼""","8'9 ½""",-,-,-,-,250,8.8,"8.75""","9.5""",-,-,-,/profile/Richard-Howell-5246/,Richard-Howell-5246
"
						
							Andre Roberson
						
					",2013,26,"6'6 ¼""","6'7""","6'11""","8'8 ½""","36.5""","11'9""","30""","11'2 ½""",206,7.1,"8.75""","9.5""",10,11.36,3.34,/profile/Andre-Roberson-6505/,Andre-Roberson-6505
"
						
							Taylor Braun
						
					",2014,-,"6'6 ¼""",-,"6'7""","8'4 ½""",-,-,"30.5""","10'11""",202,-,-,-,-,11.04,3.3,/profile/Taylor-Braun-18279/,Taylor-Braun-18279
"
						
							Niels Giffey
						
					",2014,-,"6'6 ¼""",-,"6'10 ½""","8'7 ½""",-,-,"28.5""","11'0""",200,-,-,-,-,11.08,3.43,/profile/Niels-Giffey-20375/,Niels-Giffey-20375
"
						
							Doug McDermott
						
					",2014,11,"6'6 ¼""","6'7 ¾""","6'9 ¼""","8'7""","36.5""","11'7 ½""","28.5""","10'11 ½""",218,7.1,"8.75""","9.75""",-,11.1,3.29,/profile/Doug-McDermott-6504/,Doug-McDermott-6504
"
						
							Eric Lombardi
						
					",2014,-,"6'6 ¼""","6'7 ¼""","6'9 ¾""","8'6 ½""","34.5""","11'5""","30.5""","11'1""",204,-,-,-,-,11.56,3.35,/profile/Eric-Lombardi-5962/,Eric-Lombardi-5962
"
						
							Marcus Eriksson
						
					",2014,50,"6'6 ¼""","6'7 ½""","6'8 ¾""","8'7""","30""","11'1""","22.5""","10'5 ½""",178,-,-,-,-,10.99,3.41,/profile/Marcus-Eriksson-6114/,Marcus-Eriksson-6114
"
						
							Rokas Giedraitis
						
					",2014,-,"6'6 ¼""","6'7 ¼""","6'8 ¾""","8'8""","30.5""","11'2 ½""","24""","10'8""",199,-,-,-,-,11.38,3.39,/profile/Rokas-Giedraitis-49651/,Rokas-Giedraitis-49651
"
						
							Leron Black
						
					",2014,-,"6'6 ¼""",-,"6'11 ½""",-,-,-,-,-,225,-,-,-,-,-,-,/profile/Leron-Black-7139/,Leron-Black-7139
"
						
							Ira Lee
						
					",2014,-,"6'6 ¼""","6'7 ¾""","6'9 ½""","8'9""",-,-,-,-,217,-,-,-,-,-,-,/profile/Ira-Lee-7295/,Ira-Lee-7295
"
						
							Amadi Hamdi
						
					",2012,-,"6'6 ¼""",-,"7'1 ¼""","8'10 ½""",-,-,-,-,224,-,-,-,-,-,-,/profile/Amadi-Hamdi-88112/,Amadi-Hamdi-88112
"
						
							Quadri Moore
						
					",2012,-,"6'6 ¼""",-,"7'0 ½""","8'11""",-,-,-,-,230,-,-,-,-,-,-,/profile/Quadri-Moore-82865/,Quadri-Moore-82865
"
						
							Darius Carter
						
					",2015,-,"6'6 ¼""",-,"7'2 ½""","9'0 ½""",-,-,"26""","11'2 ½""",241,-,-,-,-,13.28,3.59,/profile/Darius-Carter-78241/,Darius-Carter-78241
"
						
							Jarvis Williams
						
					",2015,-,"6'6 ¼""",-,"6'11 ½""","8'8""",-,-,"35""","11'7""",212,-,-,-,-,11.62,3.27,/profile/Jarvis-Williams-77930/,Jarvis-Williams-77930
"
						
							Grantas Vasiliauskas
						
					",2015,-,"6'6 ¼""","6'7 ½""","6'7 ½""","8'8""","30.5""","11'2 ½""","25.5""","10'9 ½""",193,-,-,-,-,12.06,3.53,/profile/Grantas-Vasiliauskas-88828/,Grantas-Vasiliauskas-88828
"
						
							Jaron Blossomgame
						
					",2016,59,"6'6 ¼""","6'7 ¼""","6'10""","8'6""","41""","11'11""","35""","11'5""",214,5.3,"8.5""","10""",-,11.53,3.2,/profile/Jaron-Blossomgame-58760/,Jaron-Blossomgame-58760
"
						
							Daniel Hamilton
						
					",2016,56,"6'6 ¼""","6'8""","6'9""","8'7 ½""","29""","11'0 ½""","26""","10'9 ½""",197,6,"9""","8.5""",-,11.48,3.4,/profile/Daniel-Hamilton-72516/,Daniel-Hamilton-72516
"
						
							Jake Wiley
						
					",2017,-,"6'6 ¼""","6'7 ¼""","7'0""","8'8""",-,-,"37.5""","11'9 ½""",215,-,-,-,-,10.76,3.17,/profile/Jake-Wiley-65563/,Jake-Wiley-65563
"
						
							Tim Williams
						
					",2017,-,"6'6 ¼""","6'7 ¼""","6'11 ½""","8'7 ½""",-,-,"29.5""","11'1""",227,-,-,-,-,11.58,3.25,/profile/Tim-Williams-65518/,Tim-Williams-65518
"
						
							OG Anunoby
						
					",2017,23,"6'6 ¼""","6'7 ¾""","7'2 ¼""","8'11 ½""",-,-,-,-,232,6.8,"9.25""","9.5""",-,-,-,/profile/OG-Anunoby-93246/,OG-Anunoby-93246
"
						
							V.J. Beachem
						
					",2017,-,"6'6 ¼""","6'8""","6'10 ¼""","8'8 ½""","37""","11'9 ½""","30""","11'2 ½""",193,6.8,"8.5""","9""",-,11.18,3.26,/profile/V.J.-Beachem-72544/,V.J.-Beachem-72544
"
						
							Cyrille Eliezer-Vanerot
						
					",2017,-,"6'6 ¼""","6'7 ½""","7'2 ¼""","8'9 ¼""",-,-,-,-,224,-,-,-,-,-,-,/profile/Cyrille-Eliezer-Vanerot-62939/,Cyrille-Eliezer-Vanerot-62939
"
						
							Santiago Yusta
						
					",2017,-,"6'6 ¼""","6'7 ¼""","6'7 ½""","8'6""",-,-,-,-,191,-,-,-,-,-,-,/profile/Santiago-Yusta-73252/,Santiago-Yusta-73252
"
						
							Kay Bruhnke
						
					",2017,-,"6'6 ¼""","6'7 ¼""","6'8""","8'9""",-,-,-,-,198,-,-,-,-,-,-,/profile/Kay-Bruhnke-97415/,Kay-Bruhnke-97415
"
						
							Tristan Enaruna
						
					",2017,-,"6'6 ¼""","6'7 ¼""","6'11""","8'7 ½""",-,-,-,-,203,-,-,-,-,-,-,/profile/Tristan-Enaruna-101275/,Tristan-Enaruna-101275
"
						
							Curtis Sumpter
						
					",2007,-,"6'6""","6'7 ¾""","6'9 ½""","8'8""","32.5""","11'4 ½""","27.5""","10'11 ½""",227,5.3,-,-,12,11.3,3.22,/profile/Curtis-Sumpter-156/,Curtis-Sumpter-156
"
						
							Curtis Withers
						
					",2006,-,"6'6""","6'6 ½""","6'10""","8'5""","36.5""","11'5 ½""","35""","11'4""",227,5,-,-,14,11.54,3.1,/profile/Curtis-Withers-409/,Curtis-Withers-409
"
						
							Paul Pierce
						
					",1998,10,"6'6""",-,-,-,-,-,-,-,229,-,-,-,-,-,-,/profile/Paul-Pierce-3950/,Paul-Pierce-3950
"
						
							Torraye Braggs
						
					",1998,57,"6'6""",-,-,-,-,-,-,-,237,-,-,-,-,-,-,/profile/Torraye-Braggs-1776/,Torraye-Braggs-1776
"
						
							Tyrone Nesby
						
					",1998,-,"6'6""",-,-,-,-,-,-,-,237,-,-,-,-,-,-,/profile/Tyrone-Nesby-3739/,Tyrone-Nesby-3739
"
						
							Brett Roberts
						
					",1992,54,"6'6""",-,-,-,-,-,-,-,234,-,-,-,-,-,-,/profile/Brett-Roberts-55037/,Brett-Roberts-55037
"
						
							Lou Roe
						
					",1995,30,"6'6""",-,-,-,-,-,-,-,211,-,-,-,-,-,-,/profile/Lou-Roe-4150/,Lou-Roe-4150
"
						
							Paul Sessoms
						
					",1995,-,"6'6""",-,-,-,-,-,-,-,184,-,-,-,-,-,-,/profile/Paul-Sessoms-44978/,Paul-Sessoms-44978
"
						
							Anfernee Hardaway
						
					",1993,3,"6'6""",-,-,-,-,-,-,-,200,-,-,-,-,-,-,/profile/Anfernee-Hardaway-2718/,Anfernee-Hardaway-2718
"
						
							Jalen Rose
						
					",1994,13,"6'6""",-,-,-,-,-,-,-,231,-,-,-,-,-,-,/profile/Jalen-Rose-4166/,Jalen-Rose-4166
"
						
							Stephen Jackson
						
					",1997,42,"6'6""",-,-,-,-,-,-,-,204,-,-,-,-,-,-,/profile/Stephen-Jackson-2950/,Stephen-Jackson-2950
"
						
							Patrick Ewing Jr
						
					",2008,43,"6'6""","6'7 ¼""","7'0 ¼""","8'1 ½""","42""","11'7 ½""","35""","11'0 ½""",224,9.4,-,-,2,11.77,3.43,/profile/Patrick-Ewing-Jr-5177/,Patrick-Ewing-Jr-5177
"
						
							Gerald Green
						
					",2005,18,"6'6""","6'7 ¼""","6'9 ¾""","8'8""","39""","11'11""","31.5""","11'3 ½""",192,-,-,-,7,11.2,3.21,/profile/Gerald-Green-287/,Gerald-Green-287
"
						
							Julius Hodge
						
					",2005,20,"6'6""","6'7""","7'0 ½""","8'11 ½""","29""","11'4 ½""","24.5""","11'0""",202,-,-,-,14,10.89,3.18,/profile/Julius-Hodge-8/,Julius-Hodge-8
"
						
							Ellis Myles
						
					",2005,-,"6'6""","6'7 ¼""","6'9 ¾""","8'9 ½""","28.5""","11'2""","26""","10'11 ½""",255,-,-,-,15,12.8,3.42,/profile/Ellis-Myles-29714/,Ellis-Myles-29714
"
						
							Martell Webster
						
					",2005,6,"6'6""","6'7 ½""","6'11""","8'10""","30.5""","11'4 ½""","28""","11'2""",230,-,-,-,7,11.39,3.39,/profile/Martell-Webster-279/,Martell-Webster-279
"
						
							Luke Jackson
						
					",2004,10,"6'6""","6'7""","6'8 ½""","8'7""","36""","11'7""","26.5""","10'9 ½""",212,-,-,-,13,11.1,3.24,/profile/Luke-Jackson-2955/,Luke-Jackson-2955
"
						
							Kirk Snyder
						
					",2004,16,"6'6""","6'6 ¾""","6'9""","8'8""","35""","11'7""","30""","11'2""",228,-,-,-,19,10.79,3.13,/profile/Kirk-Snyder-4427/,Kirk-Snyder-4427
"
						
							LaVell Blanchard
						
					",2003,-,"6'6""","6'7 ½""","6'6""","8'5 ½""","36.5""","11'6""","33.5""","11'3""",205,11.7,-,-,12,11.64,3.38,/profile/LaVell-Blanchard-32951/,LaVell-Blanchard-32951
"
						
							Ronald Dupree
						
					",2003,-,"6'6""",-,"6'8 ¼""","8'5""","41.5""","11'10 ½""","37.5""","11'6 ½""",209,6.7,-,-,11,11.09,3.23,/profile/Ronald-Dupree-2297/,Ronald-Dupree-2297
"
						
							Ron Slay
						
					",2003,-,"6'6""","6'7""","6'10""","8'7 ½""","31.5""","11'3""","28.5""","11'0""",236,16.3,-,-,10,12.01,3.43,/profile/Ron-Slay-5491/,Ron-Slay-5491
"
						
							Rod Grizzard
						
					",2002,38,"6'6""","6'7 ¾""","7'0""","8'11""",-,-,-,-,193,-,-,-,6,-,-,/profile/Rod-Grizzard-5299/,Rod-Grizzard-5299
"
						
							Ryan Humphrey
						
					",2002,19,"6'6""","6'7""","7'0""","8'8 ½""","37.5""","11'10""","31.5""","11'4""",223,-,-,-,13,11.75,3.2,/profile/Ryan-Humphrey-2901/,Ryan-Humphrey-2901
"
						
							Preston Shumpert
						
					",2002,-,"6'6""","6'7 ½""","6'8 ½""","8'7 ½""","29""","11'0 ½""","28.5""","11'0""",197,-,-,-,9,11.03,3.24,/profile/Preston-Shumpert-5369/,Preston-Shumpert-5369
"
						
							Anthony Evans
						
					",2001,-,"6'6""","6'7 ¼""","6'11 ½""","8'5 ½""","33""","11'2 ½""","31.5""","11'1""",267,-,-,-,18,12.56,3.31,/profile/Anthony-Evans-44274/,Anthony-Evans-44274
"
						
							Ceedric Goodwyn
						
					",2000,-,"6'6""","6'7 ¼""","6'10""","8'8 ½""",-,-,-,-,238,-,-,-,-,-,-,/profile/Ceedric-Goodwyn-54920/,Ceedric-Goodwyn-54920
"
						
							Lawrence Kinnard
						
					",2009,-,"6'6""","6'7 ½""","6'10 ½""",-,-,-,-,-,201,-,-,-,-,-,-,/profile/Lawrence-Kinnard-22843/,Lawrence-Kinnard-22843
"
						
							Geoff McDermott
						
					",2009,-,"6'6""","6'7 ½""","7'1""",-,-,-,-,-,233,-,-,-,-,-,-,/profile/Geoff-McDermott-1255/,Geoff-McDermott-1255
"
						
							Anatoly Kolesnikov
						
					",2011,-,"6'6""",-,"6'8 ½""","8'5 ¾""",-,-,-,-,196,-,-,-,-,11.39,3.32,/profile/Anatoly-Kolesnikov-65019/,Anatoly-Kolesnikov-65019
"
						
							Kenneth Faried
						
					",2011,22,"6'6""","6'7 ½""","7'0""","9'0""","35""","11'11""","30.5""","11'6 ½""",225,6.3,"8.5""","10.25""",16,11.35,3.26,/profile/Kenneth-Faried-5325/,Kenneth-Faried-5325
"
						
							Kawhi Leonard
						
					",2011,15,"6'6""","6'7""","7'3""","8'10""","32""","11'6""","25.5""","10'11 ½""",227,5.4,"9.75""","11.25""",3,11.45,3.15,/profile/Kawhi-Leonard-5821/,Kawhi-Leonard-5821
"
						
							Jereme Richmond
						
					",2011,-,"6'6""","6'7 ¼""","6'10 ¼""","8'10 ½""","33.5""","11'8""","27""","11'1 ½""",207,5.5,"8.75""","9.5""",-,11.74,3.02,/profile/Jereme-Richmond-5208/,Jereme-Richmond-5208
"
						
							Chane Behanan
						
					",2010,-,"6'6""",-,"6'8""","8'6 ½""",-,-,-,-,253,-,-,-,-,-,-,/profile/Chane-Behanan-6250/,Chane-Behanan-6250
"
						
							Dorian Finney-Smith
						
					",2010,-,"6'6""",-,"6'11""","8'6""",-,-,-,-,189,-,-,-,-,-,-,/profile/Dorian-Finney-Smith-6249/,Dorian-Finney-Smith-6249
"
						
							Jabari Parker
						
					",2010,2,"6'6""",-,"6'10""","8'6""",-,-,-,-,235,-,-,-,-,-,-,/profile/Jabari-Parker-6299/,Jabari-Parker-6299
"
						
							Aaron Ross
						
					",2010,-,"6'6""",-,"6'11""","8'7""",-,-,-,-,220,-,-,-,-,-,-,/profile/Aaron-Ross-42283/,Aaron-Ross-42283
"
						
							LaQuinton Ross
						
					",2010,-,"6'6""",-,"7'0 ½""","8'8""",-,-,-,-,219,-,-,-,-,-,-,/profile/LaQuinton-Ross-1325/,LaQuinton-Ross-1325
"
						
							Sam Thompson
						
					",2010,-,"6'6""",-,"6'8""","8'5""",-,-,-,-,180,-,-,-,-,-,-,/profile/Sam-Thompson-6259/,Sam-Thompson-6259
"
						
							Mike Glover
						
					",2012,-,"6'6""",-,"6'9""",-,-,-,"29.8""","2'4 ¾""",226,-,-,-,-,12.41,3.38,/profile/Mike-Glover-6490/,Mike-Glover-6490
"
						
							Bakseung Lee
						
					",2012,-,"6'6""",-,"6'10 ½""",-,-,-,"28.3""","2'3 ¼""",219,-,-,-,-,12.05,3.46,/profile/Bakseung-Lee-83947/,Bakseung-Lee-83947
"
						
							Kevin Murphy
						
					",2012,47,"6'6""",-,"6'7""",-,-,-,"27.8""","2'2 ¾""",195,-,-,-,-,12.09,3.34,/profile/Kevin-Murphy-17023/,Kevin-Murphy-17023
"
						
							Kris Joseph
						
					",2012,51,"6'6""","6'7""","6'11""","8'8""","35""","11'7""","28.5""","11'0 ½""",215,8.6,"9""","9""",6,-,3.46,/profile/Kris-Joseph-5837/,Kris-Joseph-5837
"
						
							Darius Miller
						
					",2012,46,"6'6""","6'7 ½""","6'9""","8'5""","37""","11'6""","33""","11'2""",233,7.5,"8.5""","8.75""",14,11.34,3.31,/profile/Darius-Miller-5260/,Darius-Miller-5260
"
						
							Terrence Ross
						
					",2012,8,"6'6""","6'7""","6'7 ¼""","8'4 ½""","37.5""","11'6""","31""","10'11 ½""",197,3.2,"8.75""","10.25""",2,11.78,3.28,/profile/Terrence-Ross-5747/,Terrence-Ross-5747
"
						
							Jeff Taylor
						
					",2012,31,"6'6""","6'7 ¼""","6'6 ¼""","8'5 ½""","40""","11'9 ½""","33.5""","11'3""",213,4.2,"8.25""","9.75""",15,10.87,3.29,/profile/Jeff-Taylor-1351/,Jeff-Taylor-1351
"
						
							Marcellus Sommerville
						
					",2006,-,"6'6""","6'7 ½""","6'10""",-,-,-,-,-,218,-,-,-,-,-,-,/profile/Marcellus-Sommerville-347/,Marcellus-Sommerville-347
"
						
							Haminn Quaintance
						
					",2008,-,"6'6""","6'7 ¼""","7'0 ½""",-,-,-,-,-,214,-,-,-,-,-,-,/profile/Haminn-Quaintance-5575/,Haminn-Quaintance-5575
"
						
							Will Thomas
						
					",2008,-,"6'6""","6'7""","7'1 ¼""",-,-,-,-,-,226,-,-,-,-,-,-,/profile/Will-Thomas-25392/,Will-Thomas-25392
"
						
							Leon Williams
						
					",2008,-,"6'6""","6'7""","6'9 ¾""",-,-,-,-,-,251,-,-,-,-,-,-,/profile/Leon-Williams-24834/,Leon-Williams-24834
"
						
							Carl Hall
						
					",2013,-,"6'6""",-,"6'11 ½""","8'8""",-,-,-,-,220,-,-,-,-,-,-,/profile/Carl-Hall-41914/,Carl-Hall-41914
"
						
							Tony Snell
						
					",2013,20,"6'6""","6'7 ¼""","6'11 ½""","8'9 ½""","36.5""","11'10""","30""","11'3 ½""",198,4.9,"9""","9.5""",7,10.36,3.25,/profile/Tony-Snell-18408/,Tony-Snell-18408
"
						
							Romero Osby
						
					",2013,51,"6'6""","6'8""","6'9 ¾""","8'8""","35.5""","11'7 ½""","31.5""","11'3 ½""",240,8.9,"7.75""","8.75""",13,12.11,3.35,/profile/Romero-Osby-1282/,Romero-Osby-1282
"
						
							Marshawn Powell
						
					",2013,-,"6'6""","6'7 ½""","6'11 ½""","8'8""","32.5""","11'4 ½""","28.5""","11'0 ½""",249,16.5,"8.5""","9.75""",9,11.52,3.41,/profile/Marshawn-Powell-5818/,Marshawn-Powell-5818
"
						
							Janis Berzins
						
					",2013,-,"6'6""","6'7""","6'11""","8'8 ½""","31""","11'3 ½""","26.5""","10'11""",206,-,-,-,-,11.21,3.37,/profile/Janis-Berzins-42328/,Janis-Berzins-42328
"
						
							Howard Sant-Roos
						
					",2013,-,"6'6""","6'7""","6'9""","8'7""","34""","11'5""","31""","11'2""",183,-,-,-,-,11.47,3.31,/profile/Howard-Sant-Roos-48983/,Howard-Sant-Roos-48983
"
						
							Jerami Grant
						
					",2013,39,"6'6""","6'7""","7'2 ½""","9'0 ½""",-,-,-,-,217,-,-,-,-,-,-,/profile/Jerami-Grant-6445/,Jerami-Grant-6445
"
						
							Brandon Ashley
						
					",2013,-,"6'6""","6'8""","7'2 ½""","9'1""",-,-,-,-,223,-,-,-,-,-,-,/profile/Brandon-Ashley-6151/,Brandon-Ashley-6151
"
						
							Aaron Gordon
						
					",2013,4,"6'6""","6'7""","6'11""","8'10""",-,-,-,-,220,-,-,-,-,-,-,/profile/Aaron-Gordon-6458/,Aaron-Gordon-6458
"
						
							Luis Santos
						
					",2013,-,"6'6""",-,"7'0""",-,-,-,-,-,246,-,-,-,-,-,-,/profile/Luis-Santos-71777/,Luis-Santos-71777
"
						
							Jaylen Brown
						
					",2013,3,"6'6""",-,"6'8""",-,-,-,-,-,200,-,-,-,-,-,-,/profile/Jaylen-Brown-72912/,Jaylen-Brown-72912
"
						
							Esa Ahmad
						
					",2013,-,"6'6""",-,"6'7""",-,-,-,-,-,226,-,-,-,-,-,-,/profile/Esa-Ahmad-76401/,Esa-Ahmad-76401
"
						
							Braxton Key
						
					",2013,-,"6'6""",-,"6'8""",-,-,-,-,-,212,-,-,-,-,-,-,/profile/Braxton-Key-76406/,Braxton-Key-76406
"
						
							Darius Hicks
						
					",2013,-,"6'6""",-,"6'9""",-,-,-,-,-,203,-,-,-,-,-,-,/profile/Darius-Hicks-76431/,Darius-Hicks-76431
"
						
							D.J. Covington
						
					",2014,-,"6'6""",-,"7'1 ½""","8'7""",-,-,"34.5""","11'5 ½""",227,-,-,-,-,12.13,3.31,/profile/D.J.-Covington-16589/,D.J.-Covington-16589
"
						
							Jamil Wilson
						
					",2014,-,"6'6""",-,"7'0""","8'9 ½""",-,-,"30""","11'3 ½""",217,-,-,-,-,11.46,3.51,/profile/Jamil-Wilson-18925/,Jamil-Wilson-18925
"
						
							Cleanthony Early
						
					",2014,34,"6'6""","6'7 ¼""","6'10 ¾""","8'5 ½""","40""","11'9 ½""","34""","11'3 ½""",209,4.5,"8.5""","9""",-,11.15,3.18,/profile/Cleanthony-Early-65803/,Cleanthony-Early-65803
"
						
							Jarell Eddie
						
					",2014,-,"6'6""","6'7""","6'9 ½""","8'9""","33.5""","11'6 ½""","28""","11'1""",220,10.1,"8.5""","9.25""",9,12.02,3.32,/profile/Jarell-Eddie-16578/,Jarell-Eddie-16578
"
						
							Marius Grigonis
						
					",2014,-,"6'6""","6'7""","6'8 ¾""","8'8""","30""","11'2""","21.5""","10'5 ½""",202,-,-,-,-,11.92,3.44,/profile/Marius-Grigonis-5875/,Marius-Grigonis-5875
"
						
							Algevon Eichelberger
						
					",2014,-,"6'6""",-,"7'2""",-,-,-,-,-,229,-,-,-,-,-,-,/profile/Algevon-Eichelberger-83144/,Algevon-Eichelberger-83144
"
						
							Derrick Walker
						
					",2014,-,"6'6""",-,"6'10""",-,-,-,-,-,209,-,-,-,-,-,-,/profile/Derrick-Walker-81894/,Derrick-Walker-81894
"
						
							Brian Bowen
						
					",2014,-,"6'6""",-,"6'7""",-,-,-,-,-,178,-,-,-,-,-,-,/profile/Brian-Bowen-83156/,Brian-Bowen-83156
"
						
							P.J. Washington
						
					",2014,-,"6'6""",-,"7'1""",-,-,-,-,-,219,-,-,-,-,-,-,/profile/P.J.-Washington-81869/,P.J.-Washington-81869
"
						
							Wyatt Wilkes
						
					",2014,-,"6'6""",-,"6'7""",-,-,-,-,-,186,-,-,-,-,-,-,/profile/Wyatt-Wilkes-83159/,Wyatt-Wilkes-83159
"
						
							Tyrique Jones
						
					",2014,-,"6'6""",-,"6'9""",-,-,-,-,-,222,-,-,-,-,-,-,/profile/Tyrique-Jones-81771/,Tyrique-Jones-81771
"
						
							Cordell Pemsl
						
					",2014,-,"6'6""",-,"6'10""",-,-,-,-,-,230,-,-,-,-,-,-,/profile/Cordell-Pemsl-83160/,Cordell-Pemsl-83160
"
						
							Tervell Beck
						
					",2014,-,"6'6""",-,"6'7""",-,-,-,-,-,212,-,-,-,-,-,-,/profile/Tervell-Beck-83169/,Tervell-Beck-83169
"
						
							Abdul Malik-Abu
						
					",2012,-,"6'6""",-,"7'2""","8'10""",-,-,-,-,226,-,-,-,-,-,-,/profile/Abdul-Malik-Abu-71689/,Abdul-Malik-Abu-71689
"
						
							Seth Berger
						
					",2012,-,"6'6""",-,"6'8 ¾""","8'7""",-,-,-,-,183,-,-,-,-,-,-,/profile/Seth-Berger-78066/,Seth-Berger-78066
"
						
							Tyrek Coger
						
					",2012,-,"6'6""",-,"7'0 ½""","8'9""",-,-,-,-,250,-,-,-,-,-,-,/profile/Tyrek-Coger-70662/,Tyrek-Coger-70662
"
						
							Brian Dawkins
						
					",2012,-,"6'6""",-,"6'9 ¼""","8'8 ½""",-,-,-,-,213,-,-,-,-,-,-,/profile/Brian-Dawkins-77973/,Brian-Dawkins-77973
"
						
							Obie Oleka
						
					",2012,-,"6'6""",-,"7'0""","8'8""",-,-,-,-,214,-,-,-,-,-,-,/profile/Obie-Oleka-88115/,Obie-Oleka-88115
"
						
							Darien Williams
						
					",2012,-,"6'6""",-,"7'0 ¾""","8'11 ½""",-,-,-,-,217,-,-,-,-,-,-,/profile/Darien-Williams-70334/,Darien-Williams-70334
"
						
							Jermaine Haley
						
					",2015,-,"6'6""",-,"6'8""",-,-,-,-,-,182,-,-,-,-,-,-,/profile/Jermaine-Haley-83257/,Jermaine-Haley-83257
"
						
							Jerome Desrosiers
						
					",2015,-,"6'6""",-,"6'7""",-,-,-,-,-,215,-,-,-,-,-,-,/profile/Jerome-Desrosiers-72793/,Jerome-Desrosiers-72793
"
						
							Justin Jackson (Canada)
						
					",2015,-,"6'6""",-,"7'1 ¾""",-,-,-,-,-,232,-,-,-,-,-,-,/profile/Justin-Jackson-%28Canada%29-61944/,Justin-Jackson-%28Canada%29-61944
"
						
							Jalen Hill
						
					",2015,-,"6'6""","6'7""","6'11 ½""","8'9""",-,-,-,-,209,-,-,-,-,-,-,/profile/Jalen-Hill-90887/,Jalen-Hill-90887
"
						
							Edin Atic
						
					",2015,-,"6'6""","6'6 ¾""","6'9 ¼""","8'7""","31.5""","11'2 ½""","26""","10'9""",184,-,-,-,-,11.68,3.42,/profile/Edin-Atic-78647/,Edin-Atic-78647
"
						
							B.J. Dulling
						
					",2015,-,"6'6""",-,"6'7""",-,-,-,-,-,208,-,-,-,-,-,-,/profile/B.J.-Dulling-91214/,B.J.-Dulling-91214
"
						
							Chuma Okeke
						
					",2015,-,"6'6""",-,"6'11""",-,-,-,-,-,220,-,-,-,-,-,-,/profile/Chuma-Okeke-91227/,Chuma-Okeke-91227
"
						
							Gerald Liddell
						
					",2015,-,"6'6""",-,"6'11""",-,-,-,-,-,163,-,-,-,-,-,-,/profile/Gerald-Liddell-91245/,Gerald-Liddell-91245
