Player,Team,G,MP,PTS,FG_2P,FG_2PA,FG_2P_Pct,FG_3P,FGA_3P,FG_3P_Pct,FT,FTA,FT_Pct,OREB,DREB,REB,AST,STL,BLK,TO,PF,Player_Link,Team_Link,Season,League,DX_Player_ID,DX_Team_ID
Aleksandar Vezenkov,Barcelona,35,18.8,18.9,4.7,6.7,69.4%,2.3,6.5,35.6%,2.7,3.2,84.3%,2.0,4.7,6.7,1.8,1.1,0.6,1.7,4.8,/profile/Aleksandar-Vezenkov-6429/,/stats/acb/2017/Barcelona,2017,acb,Aleksandar-Vezenkov-6429,Barcelona
Beka Burjanadze,Andorra,29,21.0,18.9,4.0,7.1,56.6%,2.0,4.9,41.6%,4.7,5.8,81.5%,2.1,5.7,7.8,2.1,1.5,0.3,1.5,3.9,/profile/Beka-Burjanadze-39729/,/stats/acb/2017/Andorra,2017,acb,Beka-Burjanadze-39729,Andorra
Slava Kravtsov,Valencia,19,13.6,18.8,7.9,10.2,76.9%,0.0,0.0,0.0%,3.1,6.9,45.5%,3.0,6.9,9.9,0.5,0.5,1.7,2.8,4.7,/profile/Slava-Kravtsov-5044/,/stats/acb/2017/Valencia,2017,acb,Slava-Kravtsov-5044,Valencia
Anzejs Pasecniks,Gran Canaria,35,16.5,18.8,7.0,10.6,66.2%,0.5,0.8,58.3%,3.4,5.4,62.0%,2.9,4.5,7.5,0.7,0.9,1.6,1.6,4.5,/profile/Anzejs-Pasecniks-65023/,/stats/acb/2017/Gran%20Canaria,2017,acb,Anzejs-Pasecniks-65023,Gran%20Canaria
Xavier Rey,Fuenlabrada,9,14.0,18.7,7.8,11.9,65.8%,0.0,0.0,0.0%,3.1,7.5,41.7%,4.1,8.7,12.8,0.9,1.9,1.2,3.4,5.3,/profile/Xavier-Rey-274/,/stats/acb/2017/Fuenlabrada,2017,acb,Xavier-Rey-274,Fuenlabrada
Vitor Faverani,Murcia,15,20.7,18.6,5.9,10.4,56.8%,0.5,1.3,40.0%,5.3,6.8,77.4%,2.4,6.2,8.6,1.2,0.8,0.6,3.6,4.5,/profile/Vitor-Faverani-1099/,/stats/acb/2017/Murcia,2017,acb,Vitor-Faverani-1099,Murcia
Nemanja Radovic,Murcia,30,18.7,18.5,6.4,11.7,54.9%,1.0,2.9,34.1%,2.7,3.7,73.1%,3.0,5.3,8.3,1.2,1.2,0.4,2.6,4.1,/profile/Nemanja-Radovic-6123/,/stats/acb/2017/Murcia,2017,acb,Nemanja-Radovic-6123,Murcia
Pablo Aguilar,Gran Canaria,32,18.3,18.5,4.0,6.5,61.5%,2.7,7.1,38.1%,2.4,3.5,67.3%,2.9,6.0,9.0,2.2,2.3,0.9,2.0,2.0,/profile/Pablo-Aguilar-1392/,/stats/acb/2017/Gran%20Canaria,2017,acb,Pablo-Aguilar-1392,Gran%20Canaria
Alex Mumbru,Bilbao,32,27.9,18.4,3.9,8.8,44.7%,2.4,7.4,32.7%,3.3,4.4,74.7%,0.9,5.1,6.0,4.5,1.5,0.1,3.4,3.6,/profile/Alex-Mumbru-5544/,/stats/acb/2017/Bilbao,2017,acb,Alex-Mumbru-5544,Bilbao
Vojdan Stojanovski,Sevilla,32,23.8,18.4,4.9,9.2,52.6%,1.8,4.3,43.2%,3.1,3.6,85.5%,0.9,2.4,3.3,2.1,1.3,0.2,1.5,5.1,/profile/Vojdan-Stojanovski-42373/,/stats/acb/2017/Sevilla,2017,acb,Vojdan-Stojanovski-42373,Sevilla
