Player,Team,G,MP,PER,EFF,EFF_per_40,EWA,Poss_per_G,Tm_Poss_per_G,Pct_of_Tm_Poss,Pts_per_Poss,FGA_per_Poss,FTA_per_Poss,AST_per_Poss,TO_per_Poss,Player_Link,Team_Link,Season,League,DX_Player_ID,DX_Team_ID
Andy Panko,Panathinaikos,10,18.7,15.8,7.9,16.9,0.46,5.9,70.8,8.4%,1.03,0.86,0.30,0.29,0.14,/profile/Andy-Panko-3863/,/stats/greek/2013/Panathinaikos,2013,greek,Andy-Panko-3863,Panathinaikos
Apollon Tsochlas,Rethymno,35,18.7,12.7,5.8,12.4,0.62,6.3,73.5,8.6%,0.96,0.80,0.25,0.36,0.19,/profile/Apollon-Tsochlas-42238/,/stats/greek/2013/Rethymno,2013,greek,Apollon-Tsochlas-42238,Rethymno
Periklis Dorkofikis,Ilisiakos,22,18.7,12.8,6.2,13.2,0.41,6.8,73.4,9.3%,1.01,0.85,0.21,0.16,0.19,/profile/Periklis-Dorkofikis-35579/,/stats/greek/2013/Ilisiakos,2013,greek,Periklis-Dorkofikis-35579,Ilisiakos
Dimitrios Charitopoulos,PAOK,16,18.6,23.1,11.1,23.9,1.82,7.5,71.6,10.5%,1.18,0.78,0.38,0.06,0.15,/profile/Dimitrios-Charitopoulos-36669/,/stats/greek/2013/PAOK,2013,greek,Dimitrios-Charitopoulos-36669,PAOK
Kostas Sloukas,Olympiakos,34,18.4,14.5,7.3,15.8,1.14,6.1,73.9,8.3%,0.94,0.75,0.27,0.44,0.20,/profile/Kostas-Sloukas-5274/,/stats/greek/2013/Olympiakos,2013,greek,Kostas-Sloukas-5274,Olympiakos
Nemanja Radovic,Drama,2,18.0,32.9,14.5,32.2,0.40,9.0,77.4,11.6%,1.28,0.89,0.44,0.17,0.06,/profile/Nemanja-Radovic-6123/,/stats/greek/2013/Drama,2013,greek,Nemanja-Radovic-6123,Drama
Jamal Wilson,Panelefsiniakos,4,17.9,13.4,5.8,12.9,0.09,7.5,72.0,10.4%,1.01,0.77,0.03,0.07,0.27,/profile/Jamal-Wilson-17777/,/stats/greek/2013/Panelefsiniakos,2013,greek,Jamal-Wilson-17777,Panelefsiniakos
Panagiotis Kafkis,Ilisiakos,20,17.8,6.8,4.7,10.4,-0.71,5.9,73.4,8.1%,0.71,0.68,0.18,0.28,0.26,/profile/Panagiotis-Kafkis-37546/,/stats/greek/2013/Ilisiakos,2013,greek,Panagiotis-Kafkis-37546,Ilisiakos
Evangelos Mantzaris,Olympiakos,14,17.6,16.9,7.6,17.3,0.75,3.8,73.9,5.1%,1.19,0.91,0.08,0.41,0.19,/profile/Evangelos-Mantzaris-40119/,/stats/greek/2013/Olympiakos,2013,greek,Evangelos-Mantzaris-40119,Olympiakos
Michael Creppy,Ilisiakos,8,17.6,0.6,1.8,4.0,-0.71,3.8,73.4,5.1%,0.50,0.73,0.27,0.20,0.33,/profile/Michael-Creppy-24414/,/stats/greek/2013/Ilisiakos,2013,greek,Michael-Creppy-24414,Ilisiakos
