Player,Team,G,MP,PTS,FG_2P,FG_2PA,FG_2P_Pct,FG_3P,FGA_3P,FG_3P_Pct,FT,FTA,FT_Pct,OREB,DREB,REB,AST,STL,BLK,TO,PF,Player_Link,Team_Link,Season,League,DX_Player_ID,DX_Team_ID
Kevin Rogers,Panionios,3,27.4,8.9,4.5,10.4,42.9%,0.0,0.0,0.0%,0.0,0.0,0.0%,3.5,5.9,9.4,0.5,1.5,0.5,2.0,4.5,/profile/Kevin-Rogers-1226/,/stats/greek/2010/Panionios,2010,greek,Kevin-Rogers-1226,Panionios
Christos Marinos,AEK Athens,10,4.1,8.8,2.9,6.9,42.9%,0.0,2.0,0.0%,2.9,5.9,50.0%,1.0,2.0,2.9,2.0,0.0,0.0,4.9,9.8,/profile/Christos-Marinos-39054/,/stats/greek/2010/AEK%20Athens,2010,greek,Christos-Marinos-39054,AEK%20Athens
Epameinondas Papantoniou,AEK Athens,26,9.8,8.6,1.3,4.5,27.6%,1.3,3.3,38.1%,2.4,3.3,71.4%,1.1,1.4,2.5,4.2,1.1,0.0,5.0,7.7,/profile/Epameinondas-Papantoniou-39097/,/stats/greek/2010/AEK%20Athens,2010,greek,Epameinondas-Papantoniou-39097,AEK%20Athens
Nikos Argyropoulos,Aris,11,4.9,8.6,0.8,3.9,20.0%,0.8,3.9,20.0%,4.7,6.2,75.0%,1.6,3.9,5.5,2.3,1.6,0.0,4.7,8.6,/profile/Nikos-Argyropoulos-37532/,/stats/greek/2010/Aris,2010,greek,Nikos-Argyropoulos-37532,Aris
Cedric Simmons,Kavala,4,15.9,8.6,3.1,6.1,50.0%,0.0,0.0,0.0%,2.5,4.9,50.0%,1.8,6.1,8.0,0.0,1.2,3.1,1.8,3.7,/profile/Cedric-Simmons-609/,/stats/greek/2010/Kavala,2010,greek,Cedric-Simmons-609,Kavala
Alexandros Sigounas,Kavala,21,13.3,8.4,2.1,4.5,46.9%,0.8,3.1,27.3%,1.7,2.7,63.2%,2.7,4.8,7.4,1.8,0.4,0.6,2.4,3.5,/profile/Alexandros-Sigounas-36571/,/stats/greek/2010/Kavala,2010,greek,Alexandros-Sigounas-36571,Kavala
Shaun Pruitt,Peristeri,2,12.0,8.3,3.3,10.0,33.3%,0.0,0.0,0.0%,1.7,5.0,33.3%,8.3,5.0,13.4,0.0,0.0,0.0,11.7,1.7,/profile/Shaun-Pruitt-1005/,/stats/greek/2010/Peristeri,2010,greek,Shaun-Pruitt-1005,Peristeri
Jurica Golemac,Panathinaikos,5,9.5,8.3,2.5,5.0,50.0%,0.8,1.7,50.0%,0.8,1.7,50.0%,1.7,6.7,8.3,3.3,1.7,0.0,7.5,5.8,/profile/Jurica-Golemac-5578/,/stats/greek/2010/Panathinaikos,2010,greek,Jurica-Golemac-5578,Panathinaikos
Triantafyllos Tzakopoulos,Larissa,20,9.5,8.3,1.9,4.8,39.1%,0.4,2.5,16.7%,3.3,5.6,59.3%,1.9,3.5,5.4,5.2,2.3,0.0,4.6,8.5,/profile/Triantafyllos-Tzakopoulos-38609/,/stats/greek/2010/Larissa,2010,greek,Triantafyllos-Tzakopoulos-38609,Larissa
Stephen Arigbabu,Maroussi,19,6.8,8.3,3.1,8.3,37.0%,0.0,0.0,0.0%,2.1,2.8,77.8%,2.1,5.8,8.0,1.5,0.6,0.3,1.5,8.9,/profile/Stephen-Arigbabu-37075/,/stats/greek/2010/Maroussi,2010,greek,Stephen-Arigbabu-37075,Maroussi
Giannis Georgalis,Panellinios,10,6.3,8.3,1.9,3.2,60.0%,1.3,5.1,25.0%,0.6,1.3,50.0%,1.9,7.0,8.9,0.6,0.6,0.0,2.5,7.0,/profile/Giannis-Georgalis-37339/,/stats/greek/2010/Panellinios,2010,greek,Giannis-Georgalis-37339,Panellinios
