Player,Team,G,MP,PTS,FGA,PTS_per_Play,TS_Pct,eFG_Pct,FT_Rate,Three_Pt_Rate,AST,AST_to_FGA_Ratio,AST_to_TO_Ratio,PPR,STL,BLK,PF,Player_Link,Team_Link,Season,League,DX_Player_ID,DX_Team_ID
Sarantis Mastrogiannopoulos,Apollon,11,3.2,0.8,0.9,0.64,0.41,0.45,0.20,0.40,0.27,0.30,1.00,-2.98,0.3,0.0,0.1,/profile/Sarantis-Mastrogiannopoulos-82932/,/stats/greek/2016/Apollon,2016,greek,Sarantis-Mastrogiannopoulos-82932,Apollon
Nikos Nikolopoulos,Apollon,9,2.8,0.8,0.6,1.00,0.60,0.60,0.40,1.00,0.11,0.20,1.00,-1.39,0.0,0.0,0.9,/profile/Nikos-Nikolopoulos-77265/,/stats/greek/2016/Apollon,2016,greek,Nikos-Nikolopoulos-77265,Apollon
Alex Aggelakos,Rhodes,11,2.7,0.5,0.9,0.46,0.26,0.20,0.40,0.50,0.00,0.00,0.00,-3.40,0.0,0.0,0.2,/profile/Alex-Aggelakos-39681/,/stats/greek/2016/Rhodes,2016,greek,Alex-Aggelakos-39681,Rhodes
Georgios Tsalmpouris,AEK Athens,1,2.7,0.0,1.0,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.0,1.0,2.0,/profile/Georgios-Tsalmpouris-62974/,/stats/greek/2016/AEK%20Athens,2016,greek,Georgios-Tsalmpouris-62974,AEK%20Athens
Georgios Kalaitzakis,Panathinaikos,1,2.6,3.0,1.0,1.50,0.80,1.50,2.00,1.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,/profile/Georgios-Kalaitzakis-93106/,/stats/greek/2016/Panathinaikos,2016,greek,Georgios-Kalaitzakis-93106,Panathinaikos
Vaggelis Bebis,Lavrio,9,2.6,0.2,0.3,0.40,0.33,0.33,0.00,0.00,0.22,0.67,1.00,-2.81,0.1,0.2,0.1,/profile/Vaggelis-Bebis-42816/,/stats/greek/2016/Lavrio,2016,greek,Vaggelis-Bebis-42816,Lavrio
Dimitris Tsagkarakis,Rethymno,1,2.5,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,/profile/Dimitris-Tsagkarakis-98520/,/stats/greek/2016/Rethymno,2016,greek,Dimitris-Tsagkarakis-98520,Rethymno
Vasileios Mouratos,Olympiakos,6,2.4,0.5,0.3,1.50,0.75,0.75,0.00,0.50,0.50,1.50,0.00,14.06,0.2,0.0,0.0,/profile/Vasileios-Mouratos-73370/,/stats/greek/2016/Olympiakos,2016,greek,Vasileios-Mouratos-73370,Olympiakos
Alexandros Spyridonidis,Nea Kifisia,8,2.4,0.4,0.8,0.30,0.19,0.00,0.67,0.67,0.00,0.00,0.00,-10.34,0.8,0.0,0.1,/profile/Alexandros-Spyridonidis-66938/,/stats/greek/2016/Nea%20Kifisia,2016,greek,Alexandros-Spyridonidis-66938,Nea%20Kifisia
Kostas Papadakis,Panathinaikos,3,1.6,1.0,0.3,0.75,1.50,1.50,0.00,1.00,0.33,1.00,0.33,-47.13,0.3,0.0,0.0,/profile/Kostas-Papadakis-95921/,/stats/greek/2016/Panathinaikos,2016,greek,Kostas-Papadakis-95921,Panathinaikos
