Player,Team,G,MP,PER,EFF,EFF_per_40,EWA,Poss_per_G,Tm_Poss_per_G,Pct_of_Tm_Poss,Pts_per_Poss,FGA_per_Poss,FTA_per_Poss,AST_per_Poss,TO_per_Poss,Player_Link,Team_Link,Season,League,DX_Player_ID,DX_Team_ID
Isaac Lopez,Valladolid,34,13.0,11.0,3.4,10.6,0.03,3.9,72.7,5.4%,1.09,0.96,0.20,0.10,0.16,/profile/Isaac-Lopez-39872/,/stats/acb/2011/Valladolid,2011,acb,Isaac-Lopez-39872,Valladolid
Hector Manzano,Granada,10,13.0,2.6,2.0,6.2,-0.53,3.8,73.4,5.2%,0.58,0.87,0.21,0.16,0.18,/profile/Hector-Manzano-36024/,/stats/acb/2011/Granada,2011,acb,Hector-Manzano-36024,Granada
Brian Cusworth,Manresa,1,12.8,1.1,0.0,0.0,-0.06,2.5,70.9,3.5%,1.21,1.21,0.81,0.00,0.40,/profile/Brian-Cusworth-1235/,/stats/acb/2011/Manresa,2011,acb,Brian-Cusworth-1235,Manresa
Alex Llorca,Manresa,26,12.7,9.2,3.1,9.7,-0.26,4.1,70.9,5.8%,0.82,0.74,0.37,0.20,0.26,/profile/Alex-Llorca-39400/,/stats/acb/2011/Manresa,2011,acb,Alex-Llorca-39400,Manresa
Alex Urtasun,Alicante,25,12.7,9.1,2.9,9.1,-0.27,4.2,70.1,6.0%,0.92,0.90,0.18,0.10,0.14,/profile/Alex-Urtasun-37715/,/stats/acb/2011/Alicante,2011,acb,Alex-Urtasun-37715,Alicante
Nedzad Sinanovic,Malaga,15,12.6,23.9,8.9,28.4,1.22,5.2,71.0,7.3%,1.16,0.76,0.28,0.06,0.22,/profile/Nedzad-Sinanovic-37523/,/stats/acb/2011/Malaga,2011,acb,Nedzad-Sinanovic-37523,Malaga
Salva Guardia,Fuenlabrada,36,12.5,10.0,3.5,11.1,-0.18,3.7,73.1,5.1%,1.02,0.99,0.25,0.10,0.16,/profile/Salva-Guardia-36409/,/stats/acb/2011/Fuenlabrada,2011,acb,Salva-Guardia-36409,Fuenlabrada
Bojan Popovic,Sevilla,12,12.3,5.7,2.2,7.0,-0.38,4.0,72.4,5.5%,0.74,0.84,0.25,0.29,0.25,/profile/Bojan-Popovic-444/,/stats/acb/2011/Sevilla,2011,acb,Bojan-Popovic-444,Sevilla
Kosta Perovic,Barcelona,40,12.3,17.5,5.6,18.1,1.64,3.9,72.0,5.5%,1.16,0.91,0.27,0.13,0.17,/profile/Kosta-Perovic-147/,/stats/acb/2011/Barcelona,2011,acb,Kosta-Perovic-147,Barcelona
Gustavo Barrera,Malaga,10,12.3,10.7,4.4,14.3,-0.01,4.4,71.0,6.2%,0.75,0.52,0.14,0.39,0.48,/profile/Gustavo-Barrera-197/,/stats/acb/2011/Malaga,2011,acb,Gustavo-Barrera-197,Malaga
Pape Sow,Vitoria,10,12.2,8.2,4.0,13.1,-0.16,3.4,71.1,4.7%,0.80,0.80,0.39,0.09,0.27,/profile/Pape-Sow-4438/,/stats/acb/2011/Vitoria,2011,acb,Pape-Sow-4438,Vitoria
Rolands Freimanis,San Sebastian,4,11.8,12.9,4.0,13.6,0.05,3.5,70.9,4.9%,1.30,0.94,0.29,0.00,0.22,/profile/Rolands-Freimanis-39322/,/stats/acb/2011/San%20Sebastian,2011,acb,Rolands-Freimanis-39322,San%20Sebastian
Carlos De Cobos,Malaga,1,11.8,-20.4,-3.0,-10.2,-0.18,5.0,71.0,7.0%,0.00,0.40,0.00,0.20,0.60,/profile/Carlos-De-Cobos-39744/,/stats/acb/2011/Malaga,2011,acb,Carlos-De-Cobos-39744,Malaga
Urko Otegui,Menorca,32,11.7,8.8,3.0,10.1,-0.38,4.1,71.6,5.7%,0.80,0.80,0.40,0.17,0.23,/profile/Urko-Otegui-36503/,/stats/acb/2011/Menorca,2011,acb,Urko-Otegui-36503,Menorca
Javi Rodriguez,Bilbao,10,11.5,10.2,3.5,12.1,-0.03,2.3,72.6,3.2%,0.95,0.61,0.52,0.61,0.39,/profile/Javi-Rodriguez-36078/,/stats/acb/2011/Bilbao,2011,acb,Javi-Rodriguez-36078,Bilbao
Mamadou Samb,Granada,28,11.4,15.7,5.0,17.5,0.77,3.8,73.4,5.2%,1.04,0.93,0.25,0.03,0.15,/profile/Mamadou-Samb-1100/,/stats/acb/2011/Granada,2011,acb,Mamadou-Samb-1100,Granada
