Player,Team,G,MP,PTS,FGA,PTS_per_Play,TS_Pct,eFG_Pct,FT_Rate,Three_Pt_Rate,AST,AST_to_FGA_Ratio,AST_to_TO_Ratio,PPR,STL,BLK,PF,Player_Link,Team_Link,Season,League,DX_Player_ID,DX_Team_ID
Jimmal Ball,Cholet,29,23.8,8.7,8.3,0.77,0.46,0.40,0.29,0.29,3.10,0.37,1.84,1.63,1.3,0.1,1.7,/profile/Jimmal-Ball-37400/,/stats/french/2006/Cholet,2006,french,Jimmal-Ball-37400,Cholet
J.K. Edwards,Le Havre,37,23.8,11.5,8.0,1.01,0.59,0.58,0.49,0.01,1.05,0.13,0.72,-3.08,1.3,0.5,2.6,/profile/J.K.-Edwards-32037/,/stats/french/2006/Le%20Havre,2006,french,J.K.-Edwards-32037,Le%20Havre
Brooks Sales,Pau-Orthez,23,23.7,10.6,7.3,1.00,0.60,0.56,0.45,0.11,1.13,0.15,0.68,-3.91,1.0,0.6,2.9,/profile/Brooks-Sales-33878/,/stats/french/2006/Pau-Orthez,2006,french,Brooks-Sales-33878,Pau-Orthez
Jerome Schmitt,Bourg,30,23.7,10.7,6.7,1.08,0.66,0.63,0.49,0.01,0.93,0.14,0.58,-4.19,1.2,0.3,1.8,/profile/Jerome-Schmitt-36827/,/stats/french/2006/Bourg,2006,french,Jerome-Schmitt-36827,Bourg
Gauthier Darrigand,Clermont,34,23.7,8.1,6.9,0.83,0.52,0.47,0.29,0.53,3.03,0.44,1.63,0.70,1.2,0.1,3.3,/profile/Gauthier-Darrigand-36747/,/stats/french/2006/Clermont,2006,french,Gauthier-Darrigand-36747,Clermont
Huseyin Besok,Le Mans,42,23.7,10.7,8.7,0.88,0.54,0.49,0.29,0.09,2.48,0.28,1.13,-2.33,0.6,0.7,2.7,/profile/Huseyin-Besok-36029/,/stats/french/2006/Le%20Mans,2006,french,Huseyin-Besok-36029,Le%20Mans
Duane Erwin,Brest,5,23.6,6.4,4.8,0.76,0.55,0.50,0.50,0.04,1.00,0.21,0.42,-6.86,0.6,0.8,3.2,/profile/Duane-Erwin-29652/,/stats/french/2006/Brest,2006,french,Duane-Erwin-29652,Brest
William Soliman,Rouen,34,23.5,9.4,7.6,0.93,0.54,0.52,0.34,0.12,0.62,0.08,0.54,-3.13,0.7,1.2,2.4,/profile/William-Soliman-38627/,/stats/french/2006/Rouen,2006,french,William-Soliman-38627,Rouen
Mike Jones,Gravelines,25,23.4,9.0,7.9,0.88,0.53,0.50,0.17,0.28,1.92,0.24,1.14,-1.75,0.7,0.1,1.5,/profile/Mike-Jones-24688/,/stats/french/2006/Gravelines,2006,french,Mike-Jones-24688,Gravelines
John McCord,Strasbourg,39,23.4,10.3,7.3,0.99,0.59,0.56,0.45,0.01,1.62,0.22,1.11,-1.67,0.6,0.4,1.8,/profile/John-McCord-37955/,/stats/french/2006/Strasbourg,2006,french,John-McCord-37955,Strasbourg
