Player,Team,G,MP,PTS,FG_2P,FG_2PA,FG_2P_Pct,FG_3P,FGA_3P,FG_3P_Pct,FT,FTA,FT_Pct,OREB,DREB,REB,AST,STL,BLK,TO,PF,Player_Link,Team_Link,Season,League,DX_Player_ID,DX_Team_ID
Guy Edi,Chalons-en-Champagne,33,12.9,11.7,3.1,6.9,44.7%,0.7,2.4,29.6%,3.4,4.8,69.8%,2.3,4.4,6.7,2.5,1.5,0.5,3.8,4.0,/profile/Guy-Edi-41296/,/stats/french/2015/Chalons-en-Champagne,2015,french,Guy-Edi-41296,Chalons-en-Champagne
Nicholas Pope,Le Havre,36,23.3,11.6,2.6,6.3,41.5%,1.5,5.3,29.1%,1.8,2.9,62.3%,0.9,4.6,5.5,2.2,1.6,0.3,2.6,1.8,/profile/Nicholas-Pope-40014/,/stats/french/2015/Le%20Havre,2015,french,Nicholas-Pope-40014,Le%20Havre
Arthur Rozenfeld,Villeurbanne,11,5.2,11.6,2.2,4.4,50.0%,0.7,5.8,12.5%,5.1,6.5,77.8%,1.5,2.9,4.4,7.3,0.7,0.0,4.4,9.5,/profile/Arthur-Rozenfeld-61909/,/stats/french/2015/Villeurbanne,2015,french,Arthur-Rozenfeld-61909,Villeurbanne
Tyrone Nash,Rouen,11,28.5,11.6,4.9,8.8,55.1%,0.0,0.8,0.0%,1.9,3.8,50.0%,3.1,5.2,8.3,2.4,1.4,0.1,2.9,4.3,/profile/Tyrone-Nash-18103/,/stats/french/2015/Rouen,2015,french,Tyrone-Nash-18103,Rouen
Max Kouguere,Orleans,24,14.4,11.6,4.1,6.7,61.4%,0.4,3.0,11.5%,2.3,3.2,74.1%,2.0,4.1,6.1,2.3,1.6,0.2,2.2,4.4,/profile/Max-Kouguere-39253/,/stats/french/2015/Orleans,2015,french,Max-Kouguere-39253,Orleans
Mickael Var,Boulogne,7,13.0,11.5,3.4,5.5,61.5%,0.8,4.7,18.2%,2.1,2.1,100.0%,2.5,4.7,7.2,1.7,2.1,0.0,1.7,4.7,/profile/Mickael-Var-39994/,/stats/french/2015/Boulogne,2015,french,Mickael-Var-39994,Boulogne
Armon Johnson,Le Mans,5,17.2,11.3,4.4,11.3,39.1%,0.0,1.0,0.0%,2.5,3.9,62.5%,0.5,2.0,2.5,5.4,0.5,0.0,4.4,1.5,/profile/Armon-Johnson-5752/,/stats/french/2015/Le%20Mans,2015,french,Armon-Johnson-5752,Le%20Mans
Judson Wallace,Chalon,8,27.5,11.3,3.3,6.6,50.0%,1.1,3.5,31.6%,1.5,1.5,100.0%,1.3,9.1,10.4,3.3,1.1,0.0,2.4,4.0,/profile/Judson-Wallace-5408/,/stats/french/2015/Chalon,2015,french,Judson-Wallace-5408,Chalon
Aloysius Anagonye,Boulogne,20,22.0,11.2,4.4,9.6,45.9%,0.0,0.0,0.0%,2.5,4.6,53.8%,4.8,4.3,9.1,1.3,0.9,0.5,2.5,5.6,/profile/Aloysius-Anagonye-5652/,/stats/french/2015/Boulogne,2015,french,Aloysius-Anagonye-5652,Boulogne
William Mensah,Nanterre,10,1.4,11.1,0.0,8.4,0.0%,0.0,11.1,0.0%,11.1,11.1,100.0%,0.0,5.6,5.6,2.8,2.8,0.0,11.1,5.6,/profile/William-Mensah-77018/,/stats/french/2015/Nanterre,2015,french,William-Mensah-77018,Nanterre
