Player,Team,G,MP,PTS,FGA,PTS_per_Play,TS_Pct,eFG_Pct,FT_Rate,Three_Pt_Rate,AST,AST_to_FGA_Ratio,AST_to_TO_Ratio,PPR,STL,BLK,PF,Player_Link,Team_Link,Season,League,DX_Player_ID,DX_Team_ID
Kenny Taylor,Aris,6,7.3,1.2,1.5,0.44,0.33,0.22,0.44,0.56,0.17,0.11,0.20,-9.63,0.0,0.2,1.2,/profile/Kenny-Taylor-30381/,/stats/eurocup/2006/Aris,2006,eurocup,Kenny-Taylor-30381,Aris
Yuri Vasilyev,Dynamo Moscow,15,7.1,1.0,0.9,0.71,0.51,0.58,0.31,0.15,0.07,0.08,0.17,-4.91,0.3,0.3,1.5,/profile/Yuri-Vasilyev-38631/,/stats/eurocup/2006/Dynamo%20Moscow,2006,eurocup,Yuri-Vasilyev-38631,Dynamo%20Moscow
Nikos Orfanos,Aris,12,6.9,1.2,1.3,0.65,0.43,0.43,0.20,0.47,0.25,0.20,0.60,-3.50,0.1,0.0,1.1,/profile/Nikos-Orfanos-36292/,/stats/eurocup/2006/Aris,2006,eurocup,Nikos-Orfanos-36292,Aris
Ivan Krolo,Le Mans,4,6.5,2.3,1.5,0.95,0.70,0.67,0.17,0.00,0.50,0.33,0.67,-6.51,0.0,0.8,1.5,/profile/Ivan-Krolo-36031/,/stats/eurocup/2006/Le%20Mans,2006,eurocup,Ivan-Krolo-36031,Le%20Mans
Igor Milosevic,Red Star,4,6.4,1.0,1.3,0.36,0.26,0.20,1.20,0.20,0.75,0.60,1.00,-3.90,0.5,0.0,2.8,/profile/Igor-Milosevic-209/,/stats/eurocup/2006/Red%20Star,2006,eurocup,Igor-Milosevic-209,Red%20Star
Milos Markovic,Hemofarm Vrsac,6,6.3,2.2,1.7,0.79,0.50,0.30,0.70,0.30,0.67,0.40,1.33,-0.93,0.2,0.0,1.2,/profile/Milos-Markovic-38059/,/stats/eurocup/2006/Hemofarm%20Vrsac,2006,eurocup,Milos-Markovic-38059,Hemofarm%20Vrsac
Bartlomiej Woloszyn,Anwil,1,6.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-17.50,0.0,0.0,0.0,/profile/Bartlomiej-Woloszyn-38297/,/stats/eurocup/2006/Anwil,2006,eurocup,Bartlomiej-Woloszyn-38297,Anwil
Samaki Walker,UNICS,1,5.8,4.0,3.0,1.33,0.67,0.67,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,2.0,/profile/Samaki-Walker-4745/,/stats/eurocup/2006/UNICS,2006,eurocup,Samaki-Walker-4745,UNICS
Izik Ohanon,Hapoel Jerusalem,10,5.7,1.3,1.2,0.81,0.44,0.33,0.50,0.00,0.20,0.17,2.00,0.58,0.0,0.3,1.3,/profile/Izik-Ohanon-29306/,/stats/eurocup/2006/Hapoel%20Jerusalem,2006,eurocup,Izik-Ohanon-29306,Hapoel%20Jerusalem
Johan Kuijper,Amsterdam,3,5.3,2.3,2.3,0.88,0.44,0.43,0.29,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,/profile/Johan-Kuijper-38423/,/stats/eurocup/2006/Amsterdam,2006,eurocup,Johan-Kuijper-38423,Amsterdam
