Player,Team,G,MP,PTS,FG_2P,FG_2PA,FG_2P_Pct,FG_3P,FGA_3P,FG_3P_Pct,FT,FTA,FT_Pct,OREB,DREB,REB,AST,STL,BLK,TO,PF,Player_Link,Team_Link,Season,League,DX_Player_ID,DX_Team_ID
Dontae Jones,Napoli,10,28.0,20.3,4.5,10.4,43.8%,3.1,7.4,42.3%,1.8,2.8,65.0%,2.8,8.0,10.8,1.8,3.8,1.4,3.4,5.3,/profile/Dontae-Jones-3050/,/stats/italian/2003/Napoli,2003,italian,Dontae-Jones-3050,Napoli
David Vanterpool,Avellino,31,34.5,20.2,5.0,9.8,50.9%,1.5,4.6,32.8%,5.7,7.8,73.2%,2.4,4.0,6.5,2.8,4.8,0.2,3.7,3.2,/profile/David-Vanterpool-4696/,/stats/italian/2003/Avellino,2003,italian,David-Vanterpool-4696,Avellino
Sinisa Kelecevic,Trieste,36,31.9,20.2,6.4,10.7,60.1%,1.2,3.1,39.8%,3.7,4.4,84.0%,2.3,7.2,9.5,0.9,1.9,0.3,2.6,3.4,/profile/Sinisa-Kelecevic-37063/,/stats/italian/2003/Trieste,2003,italian,Sinisa-Kelecevic-37063,Trieste
Bootsy Thornton,Cantu,37,35.7,20.1,5.8,10.5,55.4%,1.4,4.7,29.5%,4.3,5.5,78.9%,1.8,5.1,6.9,1.9,3.6,0.1,2.8,3.0,/profile/Bootsy-Thornton-5216/,/stats/italian/2003/Cantu,2003,italian,Bootsy-Thornton-5216,Cantu
William Copeland,Cantu,1,8.0,20.0,10.0,15.0,66.7%,0.0,0.0,0.0%,0.0,0.0,0.0%,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,/profile/William-Copeland-37128/,/stats/italian/2003/Cantu,2003,italian,William-Copeland-37128,Cantu
Larry Middleton,Avellino,34,29.3,19.9,2.6,5.8,44.9%,3.4,9.0,37.7%,4.5,4.9,92.7%,0.9,2.9,3.8,0.9,2.2,0.0,2.2,3.3,/profile/Larry-Middleton-36158/,/stats/italian/2003/Avellino,2003,italian,Larry-Middleton-36158,Avellino
Chris Gatling,Pesaro,12,29.6,19.9,6.6,16.5,39.9%,0.3,2.1,15.8%,5.8,8.5,68.4%,2.8,10.7,13.5,0.9,2.4,0.8,3.9,4.3,/profile/Chris-Gatling-2533/,/stats/italian/2003/Pesaro,2003,italian,Chris-Gatling-2533,Pesaro
Terrance Roberson,Trieste,34,34.1,19.9,5.7,10.6,53.7%,1.9,4.8,39.1%,2.9,3.7,78.7%,1.1,3.1,4.2,1.8,2.0,0.2,3.2,2.8,/profile/Terrance-Roberson-4111/,/stats/italian/2003/Trieste,2003,italian,Terrance-Roberson-4111,Trieste
Ira Clark,Fabriano,30,35.8,19.9,6.4,12.3,52.4%,1.2,3.9,31.7%,3.3,5.1,65.7%,2.6,6.7,9.3,1.2,2.5,1.4,5.0,3.9,/profile/Ira-Clark-36796/,/stats/italian/2003/Fabriano,2003,italian,Ira-Clark-36796,Fabriano
Rodney Elliott,Livorno,34,31.7,19.8,3.6,8.2,43.6%,3.1,7.0,44.0%,3.5,4.3,79.8%,1.9,5.6,7.5,1.1,1.9,0.5,3.9,4.2,/profile/Rodney-Elliott-36381/,/stats/italian/2003/Livorno,2003,italian,Rodney-Elliott-36381,Livorno
Massimo La Torre,Avellino,1,4.0,19.6,9.8,9.8,100.0%,0.0,0.0,0.0%,0.0,0.0,0.0%,0.0,9.8,9.8,0.0,9.8,0.0,0.0,9.8,/profile/Massimo-La-Torre-36924/,/stats/italian/2003/Avellino,2003,italian,Massimo-La-Torre-36924,Avellino
Horace Jenkins,Roma,43,31.4,19.6,4.3,8.8,49.1%,2.2,6.2,35.0%,4.5,5.5,81.1%,1.3,3.2,4.5,2.8,3.0,0.3,3.5,2.8,/profile/Horace-Jenkins-2981/,/stats/italian/2003/Roma,2003,italian,Horace-Jenkins-2981,Roma
Cookie Belcher,Biella,31,28.8,19.4,4.4,8.5,51.8%,2.2,6.5,34.7%,3.9,4.6,84.6%,0.9,4.4,5.3,4.0,4.8,0.5,4.2,3.6,/profile/Cookie-Belcher-35814/,/stats/italian/2003/Biella,2003,italian,Cookie-Belcher-35814,Biella
Silvio Gigena,Pesaro,33,19.6,19.3,5.3,8.0,65.6%,2.1,5.1,41.7%,2.4,3.1,78.0%,3.9,4.2,8.1,0.4,3.0,0.4,2.1,3.1,/profile/Silvio-Gigena-36436/,/stats/italian/2003/Pesaro,2003,italian,Silvio-Gigena-36436,Pesaro
Damir Mulaomerovic,Udine,10,32.1,19.2,3.5,9.0,38.9%,2.4,6.9,34.5%,5.0,5.9,85.1%,0.9,2.4,3.3,3.8,3.1,0.0,4.1,3.3,/profile/Damir-Mulaomerovic-5585/,/stats/italian/2003/Udine,2003,italian,Damir-Mulaomerovic-5585,Udine
Juan Manuel Moltedo,Roseto,35,18.8,19.2,3.4,6.5,52.9%,2.4,7.2,32.8%,5.2,7.4,70.3%,1.1,3.7,4.7,2.1,2.5,0.1,4.1,5.2,/profile/Juan-Manuel-Moltedo-36124/,/stats/italian/2003/Roseto,2003,italian,Juan-Manuel-Moltedo-36124,Roseto
Patricio Prato,Fortitudo Bologna,4,11.5,19.1,6.1,7.8,77.8%,0.9,5.2,16.7%,4.3,7.8,55.6%,2.6,4.3,7.0,0.0,4.3,0.0,5.2,10.4,/profile/Patricio-Prato-5606/,/stats/italian/2003/Fortitudo%20Bologna,2003,italian,Patricio-Prato-5606,Fortitudo%20Bologna
Jerry McCullough,Cantu,32,31.7,19.0,4.7,9.8,47.4%,1.3,4.0,32.4%,5.8,7.6,76.4%,1.9,3.0,4.9,4.9,3.4,0.3,2.9,3.5,/profile/Jerry-McCullough-36089/,/stats/italian/2003/Cantu,2003,italian,Jerry-McCullough-36089,Cantu
Domenico Morena,Napoli,21,6.4,19.0,5.0,9.2,54.8%,1.8,4.7,37.5%,3.6,4.2,85.7%,3.6,7.7,11.3,0.3,1.8,0.9,2.7,9.8,/profile/Domenico-Morena-36679/,/stats/italian/2003/Napoli,2003,italian,Domenico-Morena-36679,Napoli
Phill Jones,Cantu,38,19.1,19.0,3.9,8.6,45.2%,2.5,7.1,34.9%,3.8,4.4,86.1%,0.8,3.0,3.9,0.9,2.5,0.1,2.8,4.8,/profile/Phill-Jones-36999/,/stats/italian/2003/Cantu,2003,italian,Phill-Jones-36999,Cantu
Hugo Sconochini,Milano,34,31.1,19.0,4.3,8.5,50.7%,1.6,5.4,29.5%,5.6,7.7,72.5%,1.2,5.0,6.2,3.6,3.4,0.5,4.6,4.6,/profile/Hugo-Sconochini-35497/,/stats/italian/2003/Milano,2003,italian,Hugo-Sconochini-35497,Milano
Anthony Parker,Roma,27,31.7,18.8,5.7,10.7,53.2%,1.6,3.9,40.7%,2.7,3.6,75.7%,1.7,5.6,7.3,3.1,3.2,0.4,2.3,3.5,/profile/Anthony-Parker-3868/,/stats/italian/2003/Roma,2003,italian,Anthony-Parker-3868,Roma
