RSCI_Rank,Player,Draft_Pick,Draft_Year,NBA_EWA,Player_Link,Rank_Year,DX_Player_ID
11,"			
												Jason Kapono
											","
													31
											"," 
												2003
											",-0.21,/profile/Jason-Kapono-3101/,1999,Jason-Kapono-3101
12,"			
												Damien Wilkins
											","
											"," 
											",0.46,/profile/Damien-Wilkins-4870/,1999,Damien-Wilkins-4870
13,"			
												Leon Smith
											","
													29
											"," 
												1999
											",0.09,/profile/Leon-Smith-4400/,1999,Leon-Smith-4400
14,"			
												Kenny Satterfield
											","
													53
											"," 
												2001
											",-0.44,/profile/Kenny-Satterfield-4232/,1999,Kenny-Satterfield-4232
15,"			
												Jason Richardson
											","
													5
											"," 
												2001
											",5.55,/profile/Jason-Richardson-4081/,1999,Jason-Richardson-4081
16,"			
												Jason Parker
											","
											"," 
											",-,/profile/Jason-Parker-55282/,1999,Jason-Parker-55282
17,"			
												Casey Sanders
											","
											"," 
											",-,/profile/Casey-Sanders-33411/,1999,Casey-Sanders-33411
18,"			
												Jason Gardner
											","
											"," 
											",-,/profile/Jason-Gardner-5655/,1999,Jason-Gardner-5655
18,"			
												Casey Jacobsen
											","
													22
											"," 
												2002
											",-0.85,/profile/Casey-Jacobsen-2957/,1999,Casey-Jacobsen-2957
20,"			
												Brian Cook
											","
													24
											"," 
												2003
											",0.55,/profile/Brian-Cook-2054/,1999,Brian-Cook-2054
21,"			
												Tony Robertson
											","
											"," 
											",-,/profile/Tony-Robertson-33477/,1999,Tony-Robertson-33477
22,"			
												Drew Gooden
											","
													4
											"," 
												2002
											",2.92,/profile/Drew-Gooden-2579/,1999,Drew-Gooden-2579
23,"			
												Nick Collison
											","
													12
											"," 
												2003
											",1.71,/profile/Nick-Collison-2031/,1999,Nick-Collison-2031
24,"			
												Majestic Mapp
											","
											"," 
											",-,/profile/Majestic-Mapp-32083/,1999,Majestic-Mapp-32083
25,"			
												Kevin Gaines
											","
											"," 
											",-,/profile/Kevin-Gaines-34800/,1999,Kevin-Gaines-34800
26,"			
												Joe Johnson
											","
													10
											"," 
												2001
											",5.76,/profile/Joe-Johnson-3013/,1999,Joe-Johnson-3013
27,"			
												Mike Dunleavy
											","
													3
											"," 
												2002
											",2.48,/profile/Mike-Dunleavy-2294/,1999,Mike-Dunleavy-2294
28,"			
												Rod Grizzard
											","
													38
											"," 
												2002
											",-,/profile/Rod-Grizzard-5299/,1999,Rod-Grizzard-5299
29,"			
												Travis Watson
											","
											"," 
											",-,/profile/Travis-Watson-5354/,1999,Travis-Watson-5354
30,"			
												Samuel Dalembert
											","
													26
											"," 
												2001
											",3.83,/profile/Samuel-Dalembert-2126/,1999,Samuel-Dalembert-2126
31,"			
												George Williams
											","
											"," 
											",-,/profile/George-Williams-34801/,1999,George-Williams-34801
31,"			
												Donnell Knight
											","
											"," 
											",-,/profile/Donnell-Knight-33720/,1999,Donnell-Knight-33720
33,"			
												Marshall Williams
											","
											"," 
											",-,/profile/Marshall-Williams-53419/,1999,Marshall-Williams-53419
34,"			
												Kareem Rush
											","
													20
											"," 
												2002
											",-0.60,/profile/Kareem-Rush-4201/,1999,Kareem-Rush-4201
35,"			
												Chuck Eidson
											","
											"," 
											",-,/profile/Chuck-Eidson-5350/,1999,Chuck-Eidson-5350
36,"			
												Steven Hunter
											","
													15
											"," 
												2001
											",0.81,/profile/Steven-Hunter-2908/,1999,Steven-Hunter-2908
37,"			
												Roger Mason Jr
											","
													30
											"," 
												2002
											",0.02,/profile/Roger-Mason-Jr-3455/,1999,Roger-Mason-Jr-3455
38,"			
												Matt Bonner
											","
													45
											"," 
												2003
											",1.50,/profile/Matt-Bonner-1726/,1999,Matt-Bonner-1726
39,"			
												Jamal Crawford
											","
													8
											"," 
												2000
											",4.51,/profile/Jamal-Crawford-2085/,1999,Jamal-Crawford-2085
40,"			
												Reece Gaines
											","
													15
											"," 
												2003
											",-0.39,/profile/Reece-Gaines-2500/,1999,Reece-Gaines-2500
41,"			
												Matt Carroll
											","
											"," 
											",0.23,/profile/Matt-Carroll-1941/,1999,Matt-Carroll-1941
42,"			
												Todd Billet
											","
											"," 
											",-,/profile/Todd-Billet-32082/,1999,Todd-Billet-32082
43,"			
												Tito Maddox
											","
													37
											"," 
												2002
											",0.01,/profile/Tito-Maddox-3390/,1999,Tito-Maddox-3390
44,"			
												Derrick Payne
											","
											"," 
											",-,/profile/Derrick-Payne-53420/,1999,Derrick-Payne-53420
45,"			
												Antonio Falu
											","
											"," 
											",-,/profile/Antonio-Falu-33886/,1999,Antonio-Falu-33886
46,"			
												Marcus Cox
											","
											"," 
											",-,/profile/Marcus-Cox-32981/,1999,Marcus-Cox-32981
47,"			
												DeShaun Williams
											","
											"," 
											",-,/profile/DeShaun-Williams-31361/,1999,DeShaun-Williams-31361
48,"			
												Brent Darby
											","
											"," 
											",-,/profile/Brent-Darby-32763/,1999,Brent-Darby-32763
49,"			
												Michael Bauer
											","
											"," 
											",-,/profile/Michael-Bauer-31140/,1999,Michael-Bauer-31140
50,"			
												Brian Wethers
											","
											"," 
											",-,/profile/Brian-Wethers-33596/,1999,Brian-Wethers-33596
51,"			
												Ron Slay
											","
											"," 
											",-,/profile/Ron-Slay-5491/,1999,Ron-Slay-5491
52,"			
												Kenny Walker
											","
											"," 
											",-,/profile/Kenny-Walker-35345/,1999,Kenny-Walker-35345
53,"			
												Hollis Price
											","
											"," 
											",-,/profile/Hollis-Price-5202/,1999,Hollis-Price-5202
54,"			
												Josh Moore
											","
											"," 
											",-,/profile/Josh-Moore-34550/,1999,Josh-Moore-34550
55,"			
												Steve Blake
											","
													38
											"," 
												2003
											",0.15,/profile/Steve-Blake-1700/,1999,Steve-Blake-1700
56,"			
												Andrew Sullivan
											","
											"," 
											",-,/profile/Andrew-Sullivan-32289/,1999,Andrew-Sullivan-32289
57,"			
												Tony Bobbitt
											","
											"," 
											",0.01,/profile/Tony-Bobbitt-1712/,1999,Tony-Bobbitt-1712
57,"			
												Bernard King
											","
											"," 
											",-,/profile/Bernard-King-32428/,1999,Bernard-King-32428
59,"			
												Jamison Brewer
											","
													40
											"," 
												2001
											",-0.22,/profile/Jamison-Brewer-1792/,1999,Jamison-Brewer-1792
60,"			
												Ezra Williams
											","
											"," 
											",-,/profile/Ezra-Williams-33281/,1999,Ezra-Williams-33281
60,"			
												Caron Butler
											","
													10
											"," 
												2002
											",3.71,/profile/Caron-Butler-1894/,1999,Caron-Butler-1894
62,"			
												Kirk Hinrich
											","
													7
											"," 
												2003
											",1.79,/profile/Kirk-Hinrich-2836/,1999,Kirk-Hinrich-2836
63,"			
												Curtis Borchardt
											","
													18
											"," 
												2002
											",-0.47,/profile/Curtis-Borchardt-1735/,1999,Curtis-Borchardt-1735
64,"			
												Stephane Pelle
											","
											"," 
											",-,/profile/Stephane-Pelle-33485/,1999,Stephane-Pelle-33485
65,"			
												Brian Woodward
											","
											"," 
											",-,/profile/Brian-Woodward-30851/,1999,Brian-Woodward-30851
66,"			
												Erwin Dudley
											","
											"," 
											",-,/profile/Erwin-Dudley-5375/,1999,Erwin-Dudley-5375
67,"			
												Doug Wrenn
											","
											"," 
											",-,/profile/Doug-Wrenn-32249/,1999,Doug-Wrenn-32249
68,"			
												Aloysius Anagonye
											","
											"," 
											",-,/profile/Aloysius-Anagonye-5652/,1999,Aloysius-Anagonye-5652
69,"			
												Ronald Dupree
											","
											"," 
											",-0.07,/profile/Ronald-Dupree-2297/,1999,Ronald-Dupree-2297
70,"			
												Ronald Blackshear
											","
											"," 
											",-,/profile/Ronald-Blackshear-33001/,1999,Ronald-Blackshear-33001
71,"			
												Brian Jackson
											","
											"," 
											",-,/profile/Brian-Jackson-32733/,1999,Brian-Jackson-32733
72,"			
												George Leach
											","
											"," 
											",-,/profile/George-Leach-31363/,1999,George-Leach-31363
