Player,From,To,Pos,Ht,Wt,Birth_Date,College,Link,Bref_ID,HOF,Ht_Inches
Scott Wedman,1975,1987,F-G,6-7,215.0,1952-07-29,University of Colorado,/players/w/wedmasc01.html,wedmasc01,0,79.0
Sonny Weems,2009,2016,G-F,6-6,205.0,1986-07-08,University of Arkansas,/players/w/weemsso01.html,weemsso01,0,78.0
Dick Wehr,1949,1949,F,6-4,180.0,1925-12-09,Rice University,/players/w/wehrdi01.html,wehrdi01,0,76.0
Brant Weidner,1984,1984,F,6-9,230.0,1960-10-28,College of William & Mary,/players/w/weidnbr01.html,weidnbr01,0,81.0
Bob Weiss,1966,1977,G,6-2,180.0,1942-05-07,Pennsylvania State University,/players/w/weissbo01.html,weissbo01,0,74.0
Rick Weitzman,1968,1968,G,6-2,175.0,1946-04-30,Northeastern University,/players/w/weitzri01.html,weitzri01,0,74.0
Bonzi Wells,1999,2008,G-F,6-5,210.0,1976-09-28,Ball State University,/players/w/wellsbo01.html,wellsbo01,0,77.0
Bubba Wells,1998,1998,F,6-5,230.0,1974-07-26,Austin Peay State University,/players/w/wellsbu01.html,wellsbu01,0,77.0
Owen Wells,1975,1975,F,6-7,200.0,1950-12-09,University of Detroit Mercy,/players/w/wellsow01.html,wellsow01,0,79.0
Ralph Wells,1963,1963,G,6-1,180.0,1940-09-03,Northwestern University,/players/w/wellsra01.html,wellsra01,0,73.0
Chris Welp,1988,1990,C,7-0,245.0,1964-01-02,University of Washington,/players/w/welpch01.html,welpch01,0,84.0
Jiri Welsch,2003,2006,G,6-7,208.0,1980-01-27,,/players/w/welscji01.html,welscji01,0,79.0
Bill Wennington,1986,2000,C,7-0,245.0,1963-04-26,St. John's University,/players/w/wennibi01.html,wennibi01,0,84.0
Matt Wenstrom,1994,1994,C,7-1,250.0,1970-11-04,University of North Carolina,/players/w/wenstma01.html,wenstma01,0,85.0
Robert Werdann,1993,1997,C,6-11,250.0,1970-09-12,St. John's University,/players/w/werdaro01.html,werdaro01,0,83.0
Ray Wertis,1947,1948,G,5-11,,1922-01-01,St. John's University,/players/w/wertira01.html,wertira01,0,71.0
David Wesley,1994,2007,G,6-0,190.0,1970-11-14,Baylor University,/players/w/wesleda01.html,wesleda01,0,72.0
Walt Wesley,1967,1976,C,6-11,220.0,1945-01-25,University of Kansas,/players/w/weslewa01.html,weslewa01,0,83.0
David West,2004,2017,F,6-9,250.0,1980-08-29,Xavier University,/players/w/westda01.html,westda01,0,81.0
Delonte West,2005,2012,G,6-4,180.0,1983-07-26,Saint Joseph's University,/players/w/westde01.html,westde01,0,76.0
Doug West,1990,2001,G-F,6-6,200.0,1967-05-27,Villanova University,/players/w/westdo01.html,westdo01,0,78.0
Jerry West,1961,1974,G,6-2,175.0,1938-05-28,West Virginia University,/players/w/westje01.html,westje01,1,74.0
Mario West,2008,2011,G,6-5,210.0,1984-06-19,Georgia Institute of Technology,/players/w/westma02.html,westma02,0,77.0
Mark West,1984,2000,C-F,6-10,230.0,1960-11-05,Old Dominion University,/players/w/westma01.html,westma01,0,82.0
Roland West,1968,1968,G,6-4,178.0,1944-06-06,University of Cincinnati,/players/w/westro01.html,westro01,0,76.0
Dexter Westbrook,1968,1968,F,6-8,190.0,,Providence College,/players/w/westbde01.html,westbde01,0,80.0
Russell Westbrook,2009,2017,G,6-3,200.0,1988-11-12,"University of California, Los Angeles",/players/w/westbru01.html,westbru01,0,75.0
Paul Westphal,1973,1984,G,6-4,195.0,1950-11-30,University of Southern California,/players/w/westppa01.html,westppa01,0,76.0
John Wetzel,1968,1976,G-F,6-5,190.0,1944-10-22,Virginia Polytechnic Institute and State University,/players/w/wetzejo01.html,wetzejo01,0,77.0
Robert Whaley,2006,2006,C,6-10,260.0,1982-04-16,Walsh University,/players/w/whalero01.html,whalero01,0,82.0
