Player,From,To,Pos,Ht,Wt,Birth_Date,College,Link,Bref_ID,HOF,Ht_Inches
Jerry Baskerville,1976,1976,F,6-7,190.0,1951-11-10,Temple University,/players/b/baskeje01.html,baskeje01,0,79.0
Brandon Bass,2006,2017,F,6-8,250.0,1985-04-30,Louisiana State University,/players/b/bassbr01.html,bassbr01,0,80.0
Tim Bassett,1974,1980,F-C,6-8,225.0,1951-04-01,University of Georgia,/players/b/basseti01.html,basseti01,0,80.0
Maceo Baston,2003,2009,F,6-9,215.0,1975-05-29,University of Michigan,/players/b/bastoma01.html,bastoma01,0,81.0
Mengke Bateer,2002,2004,C,6-11,290.0,1975-11-20,,/players/b/bateeme01.html,bateeme01,0,83.0
Billy Ray Bates,1980,1983,G,6-4,210.0,1956-05-31,Kentucky State University,/players/b/batesbi01.html,batesbi01,0,76.0
Esteban Batista,2006,2007,F-C,6-10,270.0,1983-09-02,,/players/b/batises01.html,batises01,0,82.0
Mike Batiste,2003,2003,F,6-8,225.0,1977-11-21,Arizona State University,/players/b/batismi01.html,batismi01,0,80.0
Tony Battie,1998,2012,C-F,6-11,230.0,1976-02-11,Texas Tech University,/players/b/battito01.html,battito01,0,83.0
Shane Battier,2002,2014,F,6-8,220.0,1978-09-09,Duke University,/players/b/battish01.html,battish01,0,80.0
John Battle,1986,1995,G,6-2,175.0,1962-11-09,Rutgers University,/players/b/battljo01.html,battljo01,0,74.0
Kenny Battle,1990,1993,F,6-6,210.0,1964-10-10,University of Illinois at Urbana-Champaign,/players/b/battlke01.html,battlke01,0,78.0
Dave Batton,1983,1984,C,6-10,240.0,1956-03-26,University of Notre Dame,/players/b/battoda01.html,battoda01,0,82.0
Lloyd Batts,1975,1975,G-F,6-4,185.0,1951-05-09,University of Cincinnati,/players/b/battsll01.html,battsll01,0,76.0
Nicolas Batum,2009,2017,F-G,6-8,200.0,1988-12-14,,/players/b/batumni01.html,batumni01,0,80.0
Johnny Baum,1970,1974,F,6-5,200.0,1946-06-17,Temple University,/players/b/baumjo01.html,baumjo01,0,77.0
Frankie Baumholtz,1947,1947,G,5-10,170.0,1918-10-07,Ohio University,/players/b/baumhfr01.html,baumhfr01,0,70.0
Lonny Baxter,2003,2006,F,6-8,260.0,1979-01-27,University of Maryland,/players/b/baxtelo01.html,baxtelo01,0,80.0
Jerryd Bayless,2009,2017,G,6-3,200.0,1988-08-20,University of Arizona,/players/b/bayleje01.html,bayleje01,0,75.0
Elgin Baylor,1959,1972,F,6-5,225.0,1934-09-16,Seattle University,/players/b/bayloel01.html,bayloel01,1,77.0
Howard Bayne,1968,1968,F,6-6,235.0,1942-07-28,University of Tennessee,/players/b/bayneho01.html,bayneho01,0,78.0
Aron Baynes,2013,2017,C,6-10,260.0,1986-12-09,Washington State University,/players/b/baynear01.html,baynear01,0,82.0
Sergei Bazarevich,1995,1995,G,6-2,168.0,1965-03-16,,/players/b/bazarse01.html,bazarse01,0,74.0
Kent Bazemore,2013,2017,G-F,6-5,201.0,1989-07-01,Old Dominion University,/players/b/bazemke01.html,bazemke01,0,77.0
Ed Beach,1951,1951,F,6-3,200.0,1929-01-25,West Virginia University,/players/b/beached01.html,beached01,0,75.0
Bradley Beal,2013,2017,G,6-5,207.0,1993-06-28,University of Florida,/players/b/bealbr01.html,bealbr01,0,77.0
Al Beard,1968,1968,C,6-9,200.0,1942-04-27,Norfolk State University,/players/b/beardal01.html,beardal01,0,81.0
Butch Beard,1970,1979,G,6-3,185.0,1947-05-04,University of Louisville,/players/b/beardbu01.html,beardbu01,0,75.0
Ralph Beard,1950,1951,G,5-10,175.0,1927-12-02,University of Kentucky,/players/b/beardra01.html,beardra01,0,70.0
Charles Beasley,1968,1971,G-F,6-5,190.0,1945-09-23,Southern Methodist University,/players/b/beaslch01.html,beaslch01,0,77.0
Jerome Beasley,2004,2004,F,6-10,237.0,1980-05-17,University of North Dakota,/players/b/beaslje01.html,beaslje01,0,82.0
John Beasley,1968,1974,F-C,6-9,225.0,1944-02-05,Texas A&M University,/players/b/beasljo01.html,beasljo01,0,81.0
Malik Beasley,2017,2017,G,6-5,196.0,1996-11-26,Florida State University,/players/b/beaslma01.html,beaslma01,0,77.0
Michael Beasley,2009,2017,F,6-9,235.0,1989-01-09,Kansas State University,/players/b/beaslmi01.html,beaslmi01,0,81.0
Zelmo Beaty,1963,1975,C,6-9,225.0,1939-10-25,Prairie View A&M University,/players/b/beatyze01.html,beatyze01,1,81.0
Rodrigue Beaubois,2010,2013,G,6-0,170.0,1988-02-24,,/players/b/beaubro01.html,beaubro01,0,72.0
Byron Beck,1968,1977,C-F,6-9,225.0,1945-01-25,University of Denver,/players/b/beckby01.html,beckby01,0,81.0
Corey Beck,1996,1999,G,6-1,190.0,1971-05-27,University of Arkansas,/players/b/beckco01.html,beckco01,0,73.0
Ernie Beck,1954,1961,G-F,6-4,190.0,1931-12-11,University of Pennsylvania,/players/b/becker01.html,becker01,0,76.0
Arthur Becker,1968,1973,F,6-7,205.0,1942-01-12,Arizona State University,/players/b/beckear01.html,beckear01,0,79.0
Moe Becker,1947,1947,G-F,6-1,185.0,1917-02-24,Duquesne University,/players/b/beckemo01.html,beckemo01,0,73.0
Bob Bedell,1968,1971,F,6-7,205.0,1944-06-26,Stanford University,/players/b/bedelbo01.html,bedelbo01,0,79.0
William Bedford,1987,1993,C,7-0,225.0,1963-12-14,University of Memphis,/players/b/bedfowi01.html,bedfowi01,0,84.0
Hank Beenders,1947,1949,C-F,6-6,185.0,1916-06-02,Long Island University,/players/b/beendha01.html,beendha01,0,78.0
Ron Behagen,1974,1980,F-C,6-9,185.0,1951-01-14,University of Minnesota,/players/b/behagro01.html,behagro01,0,81.0
Elmer Behnke,1952,1952,C,6-7,210.0,1929-02-03,Bradley University,/players/b/behnkel01.html,behnkel01,0,79.0
Marco Belinelli,2008,2017,G-F,6-5,210.0,1986-03-25,,/players/b/belinma01.html,belinma01,0,77.0
Charlie Bell,2002,2011,G,6-3,200.0,1979-03-12,Michigan State University,/players/b/bellch01.html,bellch01,0,75.0
Dennis Bell,1974,1976,F,6-5,185.0,1951-06-02,Drake University,/players/b/bellde01.html,bellde01,0,77.0
Raja Bell,2001,2012,G,6-5,204.0,1976-09-19,Florida International University,/players/b/bellra01.html,bellra01,0,77.0
Troy Bell,2004,2004,G,6-1,180.0,1980-11-10,Boston College,/players/b/belltr01.html,belltr01,0,73.0
Whitey Bell,1960,1961,G,6-0,180.0,1932-09-13,North Carolina State University,/players/b/bellwh01.html,bellwh01,0,72.0
Walt Bellamy,1962,1975,C,6-11,225.0,1939-07-24,Indiana University,/players/b/bellawa01.html,bellawa01,1,83.0
DeAndre' Bembry,2017,2017,F,6-6,210.0,1994-07-04,Saint Joseph's University,/players/b/bembrde01.html,bembrde01,0,78.0
Irv Bemoras,1954,1957,F-G,6-3,185.0,1930-11-18,University of Illinois at Urbana-Champaign,/players/b/bemorir01.html,bemorir01,0,75.0
Leon Benbow,1975,1976,G,6-4,185.0,1950-07-23,Jacksonville University,/players/b/benbole01.html,benbole01,0,76.0
Dragan Bender,2017,2017,F,7-1,225.0,1997-11-17,,/players/b/bendedr01.html,bendedr01,0,85.0
Jonathan Bender,2000,2010,F,6-11,202.0,1981-01-30,,/players/b/bendejo01.html,bendejo01,0,83.0
Jerrelle Benimon,2015,2015,F,6-8,245.0,1991-08-01,Towson University,/players/b/benimje01.html,benimje01,0,80.0
Benoit Benjamin,1986,2000,C,7-0,250.0,1964-11-22,Creighton University,/players/b/benjabe01.html,benjabe01,0,84.0
Corey Benjamin,1999,2003,G,6-6,200.0,1978-02-24,Oregon State University,/players/b/benjaco01.html,benjaco01,0,78.0
Anthony Bennett,2014,2017,F,6-8,245.0,1993-03-14,"University of Nevada, Las Vegas",/players/b/bennean01.html,bennean01,0,80.0
Elmer Bennett,1995,1997,G,6-0,170.0,1970-02-13,University of Notre Dame,/players/b/benneel01.html,benneel01,0,72.0
Mario Bennett,1996,2000,F,6-6,235.0,1973-08-01,Arizona State University,/players/b/bennema01.html,bennema01,0,78.0
Mel Bennett,1976,1982,F,6-7,200.0,1955-01-04,University of Pittsburgh,/players/b/benneme01.html,benneme01,0,79.0
Spider Bennett,1969,1969,G,6-3,190.0,1943-08-04,Winston-Salem State University,/players/b/bennesp01.html,bennesp01,0,75.0
Tony Bennett,1993,1995,G,6-0,175.0,1969-06-01,University of Wisconsin-Green Bay,/players/b/benneto01.html,benneto01,0,72.0
Winston Bennett,1990,1992,F,6-7,210.0,1965-02-09,University of Kentucky,/players/b/bennewi01.html,bennewi01,0,79.0
David Benoit,1992,2001,F,6-8,220.0,1968-05-09,University of Alabama,/players/b/benoida01.html,benoida01,0,80.0
Keith Benson,2012,2012,C,6-11,240.0,1988-08-13,Oakland University,/players/b/bensoke02.html,bensoke02,0,83.0
Kent Benson,1978,1988,C,6-10,235.0,1954-12-27,Indiana University,/players/b/bensoke01.html,bensoke01,0,82.0
Ben Bentil,2017,2017,F,6-9,235.0,1995-03-29,Providence College,/players/b/bentibe01.html,bentibe01,0,81.0
Gene Berce,1950,1950,G-F,5-11,175.0,1926-11-22,Marquette University,/players/b/bercege01.html,bercege01,0,71.0
Gary Bergen,1957,1957,C,6-8,210.0,1932-07-16,University of Utah,/players/b/bergega01.html,bergega01,0,80.0
Larry Bergh,1970,1970,F,6-8,210.0,1945-04-02,Weber State University,/players/b/berghla01.html,berghla01,0,80.0
Ricky Berry,1989,1989,F,6-8,205.0,1964-10-06,San Jose State University,/players/b/berryri01.html,berryri01,0,80.0
Walter Berry,1987,1989,F,6-8,215.0,1964-05-14,St. John's University,/players/b/berrywa01.html,berrywa01,0,80.0
Davis Bertans,2017,2017,F,6-10,210.0,1992-11-12,,/players/b/bertada01.html,bertada01,0,82.0
Del Beshore,1979,1980,G,5-11,165.0,1956-11-29,California University of Pennslyvania,/players/b/beshode01.html,beshode01,0,71.0
Travis Best,1996,2005,G,5-11,182.0,1972-07-12,Georgia Institute of Technology,/players/b/besttr01.html,besttr01,0,71.0
Patrick Beverley,2013,2017,G,6-1,185.0,1988-07-12,University of Arkansas,/players/b/beverpa01.html,beverpa01,0,73.0
Sim Bhullar,2015,2015,C,7-5,360.0,1992-12-02,New Mexico State University,/players/b/bhullsi01.html,bhullsi01,0,89.0
Wesley Bialosuknia,1968,1968,G,6-2,185.0,1945-06-08,University of Connecticut,/players/b/bialowe01.html,bialowe01,0,74.0
Al Bianchi,1957,1966,G,6-3,185.0,1932-03-26,Bowling Green State University,/players/b/biancal01.html,biancal01,0,75.0
Hank Biasatti,1947,1947,G,5-11,175.0,1922-01-14,Long Island University,/players/b/biasaha01.html,biasaha01,0,71.0
Henry Bibby,1973,1981,G,6-1,185.0,1949-11-24,"University of California, Los Angeles",/players/b/bibbyhe01.html,bibbyhe01,0,73.0
Mike Bibby,1999,2012,G,6-1,190.0,1978-05-13,University of Arizona,/players/b/bibbymi01.html,bibbymi01,0,73.0
Ed Biedenbach,1969,1969,G,6-1,175.0,1945-08-12,North Carolina State University,/players/b/biedeed01.html,biedeed01,0,73.0
Andris Biedrins,2005,2014,C,6-11,240.0,1986-04-02,,/players/b/biedran01.html,biedran01,0,83.0
Don Bielke,1956,1956,C,6-7,240.0,,Valparaiso University,/players/b/bielkdo01.html,bielkdo01,0,79.0
Bob Bigelow,1976,1979,F-G,6-7,215.0,1953-12-26,University of Pennsylvania,/players/b/bigelbo01.html,bigelbo01,0,79.0
Lionel Billingy,1975,1975,F-C,6-9,215.0,1952-08-31,Duquesne University,/players/b/billili01.html,billili01,0,81.0
Chauncey Billups,1998,2014,G,6-3,202.0,1976-09-25,University of Colorado,/players/b/billuch01.html,billuch01,0,75.0
Dave Bing,1967,1978,G,6-3,180.0,1943-11-24,Syracuse University,/players/b/bingda01.html,bingda01,1,75.0
Joe Binion,1987,1987,F,6-8,235.0,1961-03-26,North Carolina Agricultural and Technical State University,/players/b/biniojo01.html,biniojo01,0,80.0
Jerry Bird,1959,1959,F,6-6,210.0,1935-02-02,University of Kentucky,/players/b/birdje01.html,birdje01,0,78.0
Larry Bird,1980,1992,F,6-9,220.0,1956-12-07,Indiana State University,/players/b/birdla01.html,birdla01,1,81.0
Otis Birdsong,1978,1989,G,6-3,190.0,1955-12-09,University of Houston,/players/b/birdsot01.html,birdsot01,0,75.0
Gale Bishop,1949,1949,F,6-3,195.0,1922-06-04,Washington State University,/players/b/bishoga01.html,bishoga01,0,75.0
Bismack Biyombo,2012,2017,C-F,6-9,255.0,1992-08-28,,/players/b/biyombi01.html,biyombi01,0,81.0
Nemanja Bjelica,2016,2017,F,6-10,240.0,1988-05-09,,/players/b/bjeline01.html,bjeline01,0,82.0
Uwe Blab,1986,1990,C,7-1,252.0,1962-03-26,Indiana University,/players/b/blabuw01.html,blabuw01,0,85.0
Charlie Black,1949,1952,F-C,6-5,200.0,1921-06-15,University of Kansas,/players/b/blackch01.html,blackch01,0,77.0
Norman Black,1981,1981,G,6-5,185.0,1957-11-12,Saint Joseph's University,/players/b/blackno01.html,blackno01,0,77.0
Tarik Black,2015,2017,C-F,6-9,250.0,1991-11-22,University of Kansas,/players/b/blackta01.html,blackta01,0,81.0
Tom Black,1971,1971,C,6-10,220.0,1941-07-09,South Dakota State University,/players/b/blackto01.html,blackto01,0,82.0
Rolando Blackman,1982,1994,G,6-6,190.0,1959-02-26,Kansas State University,/players/b/blackro01.html,blackro01,0,78.0
Alex Blackwell,1993,1993,F,6-6,250.0,1970-06-27,Monmouth University,/players/b/blackal01.html,blackal01,0,78.0
Cory Blackwell,1985,1985,F,6-6,210.0,1963-03-27,University of Wisconsin,/players/b/blackco01.html,blackco01,0,78.0
James Blackwell,1995,1995,G,6-0,190.0,1968-02-25,Dartmouth College,/players/b/blackja01.html,blackja01,0,72.0
Nate Blackwell,1988,1988,G,6-4,170.0,1965-02-15,Temple University,/players/b/blackna01.html,blackna01,0,76.0
DeJuan Blair,2010,2016,F-C,6-7,270.0,1989-04-22,University of Pittsburgh,/players/b/blairde01.html,blairde01,0,79.0
Steve Blake,2004,2016,G,6-3,172.0,1980-02-26,University of Maryland,/players/b/blakest01.html,blakest01,0,75.0
Will Blalock,2007,2007,G,6-0,205.0,1983-09-08,Iowa State University,/players/b/blalowi01.html,blalowi01,0,72.0
George Blaney,1962,1962,G,6-1,175.0,1939-11-12,College of the Holy Cross,/players/b/blanege01.html,blanege01,0,73.0
Lance Blanks,1991,1993,G,6-4,190.0,1966-09-09,University of Texas at Austin,/players/b/blankla01.html,blankla01,0,76.0
Ricky Blanton,1993,1993,F,6-7,215.0,1966-04-21,Louisiana State University,/players/b/blantri01.html,blantri01,0,79.0
Andray Blatche,2006,2014,F,6-11,235.0,1986-08-22,,/players/b/blatcan01.html,blatcan01,0,83.0
Mookie Blaylock,1990,2002,G,6-0,180.0,1967-03-20,University of Oklahoma,/players/b/blaylmo01.html,blaylmo01,0,72.0
Eric Bledsoe,2011,2017,G,6-1,205.0,1989-12-09,University of Kentucky,/players/b/bledser01.html,bledser01,0,73.0
Leon Blevins,1951,1951,G,6-2,160.0,1926-06-25,University of Arizona,/players/b/blevile01.html,blevile01,0,74.0
John Block,1967,1976,F-C,6-9,207.0,1944-04-16,University of Southern California,/players/b/blockjo01.html,blockjo01,0,81.0
Mike Bloom,1948,1949,F-C,6-6,190.0,1915-01-14,Temple University,/players/b/bloommi01.html,bloommi01,0,78.0
Corie Blount,1994,2004,F,6-9,240.0,1969-01-04,University of Cincinnati,/players/b/blounco01.html,blounco01,0,81.0
Mark Blount,2001,2009,C,7-0,230.0,1975-11-30,University of Pittsburgh,/players/b/blounma01.html,blounma01,0,84.0
Vander Blue,2014,2015,G,6-4,200.0,1992-07-17,Marquette University,/players/b/blueva01.html,blueva01,0,76.0
Ray Blume,1982,1982,G,6-4,185.0,1958-09-23,Oregon State University,/players/b/blumera01.html,blumera01,0,76.0
Nelson Bobb,1950,1953,G,6-0,170.0,1924-02-25,Temple University,/players/b/bobbne01.html,bobbne01,0,72.0
Tony Bobbitt,2005,2005,G,6-4,190.0,1979-10-22,University of Cincinnati,/players/b/bobbito01.html,bobbito01,0,76.0
Bucky Bockhorn,1959,1965,G,6-4,200.0,1933-07-08,University of Dayton,/players/b/bockhbu01.html,bockhbu01,0,76.0
Tom Boerwinkle,1969,1978,C,7-0,265.0,1945-08-23,University of Tennessee,/players/b/boerwto01.html,boerwto01,0,84.0
Keith Bogans,2004,2014,G-F,6-5,215.0,1980-05-12,University of Kentucky,/players/b/boganke01.html,boganke01,0,77.0
Bojan Bogdanovic,2015,2017,G-F,6-8,216.0,1989-04-18,,/players/b/bogdabo02.html,bogdabo02,0,80.0
Muggsy Bogues,1988,2001,G,5-3,136.0,1965-01-09,Wake Forest University,/players/b/boguemu01.html,boguemu01,0,63.0
Andrew Bogut,2006,2017,C,7-0,260.0,1984-11-28,University of Utah,/players/b/bogutan01.html,bogutan01,0,84.0
Etdrick Bohannon,1998,2001,F,6-9,220.0,1973-05-29,Auburn University at Montgomery,/players/b/bohanet01.html,bohanet01,0,81.0
Manute Bol,1986,1995,C,7-7,200.0,1962-10-16,University of Bridgeport,/players/b/bolma01.html,bolma01,0,91.0
Bill Bolger,1954,1954,F,6-5,205.0,1931-08-21,Georgetown University,/players/b/bolgebi01.html,bolgebi01,0,77.0
Joel Bolomboy,2017,2017,F,6-9,235.0,1994-01-28,Weber State University,/players/b/bolomjo01.html,bolomjo01,0,81.0
Doug Bolstorff,1958,1958,G,6-4,195.0,1931-10-29,University of Minnesota,/players/b/bolstdo01.html,bolstdo01,0,76.0
George Bon Salle,1962,1962,F,6-8,220.0,1935-07-01,University of Illinois at Urbana-Champaign,/players/b/bonsage01.html,bonsage01,0,80.0
Phil Bond,1978,1978,G,6-2,175.0,1954-07-27,University of Louisville,/players/b/bondph01.html,bondph01,0,74.0
Walter Bond,1993,1995,G,6-5,200.0,1969-02-01,University of Minnesota,/players/b/bondwa01.html,bondwa01,0,77.0
Dexter Boney,1997,1997,G,6-4,185.0,1970-04-27,"University of Nevada, Las Vegas",/players/b/boneyde01.html,boneyde01,0,76.0
Ron Bonham,1965,1968,F,6-5,192.0,1942-05-31,University of Cincinnati,/players/b/bonharo01.html,bonharo01,0,77.0
Anthony Bonner,1991,1996,F,6-8,215.0,1968-06-08,Saint Louis University,/players/b/bonnean01.html,bonnean01,0,80.0
Matt Bonner,2005,2016,F,6-10,235.0,1980-04-05,University of Florida,/players/b/bonnema01.html,bonnema01,0,82.0
Butch Booker,1970,1970,C,6-10,230.0,1945-07-20,Cheyney University of Pennsylvania,/players/b/bookebu01.html,bookebu01,0,82.0
Devin Booker,2016,2017,G,6-6,206.0,1996-10-30,University of Kentucky,/players/b/bookede01.html,bookede01,0,78.0
Melvin Booker,1996,1997,G,6-1,185.0,1972-08-20,University of Missouri,/players/b/bookeme01.html,bookeme01,0,73.0
Trevor Booker,2011,2017,F,6-8,228.0,1987-11-25,Clemson University,/players/b/booketr01.html,booketr01,0,80.0
Josh Boone,2007,2010,F-C,6-10,237.0,1984-11-21,University of Connecticut,/players/b/boonejo01.html,boonejo01,0,82.0
Ron Boone,1969,1981,G-F,6-2,200.0,1946-09-06,Idaho State University,/players/b/boonero01.html,boonero01,0,74.0
Calvin Booth,2000,2009,C,6-11,230.0,1976-05-07,Pennsylvania State University,/players/b/boothca01.html,boothca01,0,83.0
Keith Booth,1998,1999,F,6-6,226.0,1974-10-09,University of Maryland,/players/b/boothke01.html,boothke01,0,78.0
Bob Boozer,1961,1971,F,6-8,215.0,1937-04-26,Kansas State University,/players/b/boozebo01.html,boozebo01,0,80.0
Carlos Boozer,2003,2015,F-C,6-9,258.0,1981-11-20,Duke University,/players/b/boozeca01.html,boozeca01,0,81.0
Curtis Borchardt,2004,2005,C,7-0,240.0,1980-09-13,Stanford University,/players/b/borchcu01.html,borchcu01,0,84.0
Jake Bornheimer,1949,1950,F-C,6-5,200.0,1927-06-29,Muhlenberg College,/players/b/bornhja01.html,bornhja01,0,77.0
Lazaro Borrell,2000,2000,F,6-8,220.0,1972-09-20,,/players/b/borrela01.html,borrela01,0,80.0
Ike Borsavage,1951,1951,C-F,6-8,220.0,1924-07-25,Temple University,/players/b/borsaik01.html,borsaik01,0,80.0
Vince Boryla,1950,1954,F,6-5,210.0,1927-03-11,University of Denver,/players/b/borylvi01.html,borylvi01,0,77.0
Chris Bosh,2004,2016,F-C,6-11,235.0,1984-03-24,Georgia Institute of Technology,/players/b/boshch01.html,boshch01,0,83.0
Jim Bostic,1978,1978,F,6-7,225.0,1953-01-28,New Mexico State University,/players/b/bostiji01.html,bostiji01,0,79.0
Lawrence Boston,1980,1980,F,6-8,225.0,1956-05-18,University of Maryland,/players/b/bostola01.html,bostola01,0,80.0
Tom Boswell,1976,1984,F-C,6-9,220.0,1953-10-02,University of South Carolina,/players/b/bosweto01.html,bosweto01,0,81.0
Ruben Boumtje-Boumtje,2002,2004,C,7-0,257.0,1978-05-20,Georgetown University,/players/b/boumtru01.html,boumtru01,0,84.0
Don Boven,1950,1953,F-G,6-4,210.0,1925-03-06,Western Michigan University,/players/b/bovendo01.html,bovendo01,0,76.0
Cal Bowdler,2000,2002,F,6-10,245.0,1977-03-31,Old Dominion University,/players/b/bowdlca01.html,bowdlca01,0,82.0
Bruce Bowen,1997,2009,F,6-7,185.0,1971-06-14,"California State University, Fullerton",/players/b/bowenbr01.html,bowenbr01,0,79.0
Ryan Bowen,2000,2010,F,6-7,215.0,1975-11-20,University of Iowa,/players/b/bowenry01.html,bowenry01,0,79.0
Tommie Bowens,1968,1970,F-C,6-8,220.0,1940-07-07,Grambling State University,/players/b/bowento01.html,bowento01,0,80.0
Anthony Bowie,1989,1998,G-F,6-6,190.0,1963-11-09,University of Oklahoma,/players/b/bowiean01.html,bowiean01,0,78.0
Sam Bowie,1985,1995,C-F,7-1,235.0,1961-03-17,University of Kentucky,/players/b/bowiesa01.html,bowiesa01,0,85.0
Orbie Bowling,1968,1968,C,6-10,215.0,1939-03-21,University of Tennessee,/players/b/bowlior01.html,bowlior01,0,82.0
Ira Bowman,2000,2002,G,6-5,195.0,1973-06-11,University of Pennsylvania,/players/b/bowmair01.html,bowmair01,0,77.0
Nate Bowman,1967,1972,C,6-10,230.0,1943-03-19,Wichita State University,/players/b/bowmana01.html,bowmana01,0,82.0
Donnie Boyce,1996,1997,G,6-5,196.0,1973-09-02,University of Colorado,/players/b/boycedo01.html,boycedo01,0,77.0
