Player,From,To,Pos,Ht,Wt,Birth_Date,College,Link,Bref_ID,HOF,Ht_Inches,cbb_info
Priest Lauderdale,1997,1998,C,7-4,325.0,1973-08-31,Central State University,/players/l/laudepr01.html,laudepr01,0,88.0,"['http://www.basketball-reference.com/players/l/laudepr01.html', IndexError('list index out of range',)]"
Rich Laurel,1978,1978,G,6-6,190.0,1954-07-11,Hofstra University,/players/l/laureri01.html,laureri01,0,78.0,"['http://www.basketball-reference.com/players/l/laureri01.html', IndexError('list index out of range',)]"
Harry Laurie,1971,1971,G,6-1,178.0,1944-11-02,Saint Peter's College,/players/l/lauriha01.html,lauriha01,0,73.0,"['http://www.basketball-reference.com/players/l/lauriha01.html', IndexError('list index out of range',)]"
Walt Lautenbach,1950,1950,G-F,6-2,185.0,1922-11-17,University of Wisconsin,/players/l/lautewa01.html,lautewa01,0,74.0,"['http://www.basketball-reference.com/players/l/lautewa01.html', IndexError('list index out of range',)]"
Joffrey Lauvergne,2015,2017,C-F,6-11,220.0,1991-09-30,,/players/l/lauvejo01.html,lauvejo01,0,83.0,"['http://www.basketball-reference.com/players/l/lauvejo01.html', IndexError('list index out of range',)]"
Tony Lavelli,1950,1951,F,6-3,185.0,1926-07-11,Yale University,/players/l/lavelto01.html,lavelto01,0,75.0,"['http://www.basketball-reference.com/players/l/lavelto01.html', IndexError('list index out of range',)]"
Zach LaVine,2015,2017,G,6-5,189.0,1995-03-10,"University of California, Los Angeles",/players/l/lavinza01.html,lavinza01,0,77.0,http://www.sports-reference.com/cbb/players/zach-lavine-1.html
Bob Lavoy,1951,1954,F-C,6-7,185.0,1926-06-29,Western Kentucky University,/players/l/lavoybo01.html,lavoybo01,0,79.0,"['http://www.basketball-reference.com/players/l/lavoybo01.html', IndexError('list index out of range',)]"
Acie Law,2008,2011,G,6-3,195.0,1985-01-25,Texas A&M University,/players/l/lawac01.html,lawac01,0,75.0,http://www.sports-reference.com/cbb/players/acie-law-1.html
Gani Lawal,2011,2011,F,6-9,234.0,1988-11-07,Georgia Institute of Technology,/players/l/lawalga01.html,lawalga01,0,81.0,http://www.sports-reference.com/cbb/players/gani-lawal-1.html
Edmund Lawrence,1981,1981,C,7-0,228.0,1952-12-08,McNeese State University,/players/l/lawreed01.html,lawreed01,0,84.0,http://www.sports-reference.com/cbb/players/edmund-lawrence-1.html
Jason Lawson,1998,1998,C,6-11,240.0,1974-09-02,Villanova University,/players/l/lawsoja01.html,lawsoja01,0,83.0,http://www.sports-reference.com/cbb/players/jason-lawson-1.html
Ty Lawson,2010,2017,G,5-11,195.0,1987-11-03,University of North Carolina,/players/l/lawsoty01.html,lawsoty01,0,71.0,http://www.sports-reference.com/cbb/players/ty-lawson-1.html
Jake Layman,2017,2017,F,6-9,210.0,1994-03-07,University of Maryland,/players/l/laymaja01.html,laymaja01,0,81.0,http://www.sports-reference.com/cbb/players/jake-layman-1.html
Mo Layton,1972,1978,G,6-1,180.0,1948-12-24,University of Southern California,/players/l/laytomo01.html,laytomo01,0,73.0,"['http://www.basketball-reference.com/players/l/laytomo01.html', IndexError('list index out of range',)]"
Manny Leaks,1969,1974,C-F,6-8,225.0,1945-11-27,Niagara University,/players/l/leaksma01.html,leaksma01,0,80.0,"['http://www.basketball-reference.com/players/l/leaksma01.html', IndexError('list index out of range',)]"
Hal Lear,1957,1957,G,6-0,163.0,1935-01-31,Temple University,/players/l/learha01.html,learha01,0,72.0,"['http://www.basketball-reference.com/players/l/learha01.html', IndexError('list index out of range',)]"
Allen Leavell,1980,1989,G,6-1,170.0,1957-05-27,Oklahoma City University,/players/l/leaveal01.html,leaveal01,0,73.0,"['http://www.basketball-reference.com/players/l/leaveal01.html', IndexError('list index out of range',)]"
Jeff Lebo,1990,1990,G,6-2,180.0,1966-10-05,University of North Carolina,/players/l/leboje01.html,leboje01,0,74.0,http://www.sports-reference.com/cbb/players/jeff-lebo-1.html
Eric Leckner,1989,1997,C-F,6-11,265.0,1966-05-27,University of Wyoming,/players/l/leckner01.html,leckner01,0,83.0,http://www.sports-reference.com/cbb/players/eric-leckner-1.html
Ricky Ledo,2014,2015,G,6-7,195.0,1992-09-10,,/players/l/ledori01.html,ledori01,0,79.0,"['http://www.basketball-reference.com/players/l/ledori01.html', IndexError('list index out of range',)]"
Butch Lee,1979,1980,G,6-0,185.0,1956-12-05,Marquette University,/players/l/leebu01.html,leebu01,0,72.0,http://www.sports-reference.com/cbb/players/butch-lee-1.html
Clyde Lee,1967,1976,F-C,6-10,205.0,1944-03-14,Vanderbilt University,/players/l/leecl01.html,leecl01,0,82.0,"['http://www.basketball-reference.com/players/l/leecl01.html', IndexError('list index out of range',)]"
Courtney Lee,2009,2017,G,6-5,200.0,1985-10-03,Western Kentucky University,/players/l/leeco01.html,leeco01,0,77.0,http://www.sports-reference.com/cbb/players/courtney-lee-1.html
David Lee,1968,1969,F,6-7,225.0,1942-03-31,University of San Francisco,/players/l/leeda01.html,leeda01,0,79.0,"['http://www.basketball-reference.com/players/l/leeda01.html', IndexError('list index out of range',)]"
David Lee,2006,2017,F,6-9,245.0,1983-04-29,University of Florida,/players/l/leeda02.html,leeda02,0,81.0,http://www.sports-reference.com/cbb/players/david-lee-1.html
Dick Lee,1968,1968,F,6-6,,,University of Washington,/players/l/leedi01.html,leedi01,0,78.0,"['http://www.basketball-reference.com/players/l/leedi01.html', IndexError('list index out of range',)]"
Doug Lee,1992,1995,G-F,6-5,200.0,1964-10-24,Purdue University,/players/l/leedo01.html,leedo01,0,77.0,http://www.sports-reference.com/cbb/players/doug-lee-1.html
George Lee,1961,1968,F-G,6-4,200.0,1936-11-23,University of Michigan,/players/l/leege01.html,leege01,0,76.0,"['http://www.basketball-reference.com/players/l/leege01.html', IndexError('list index out of range',)]"
Greg Lee,1975,1976,G,6-3,190.0,1951-12-12,"University of California, Los Angeles",/players/l/leegr01.html,leegr01,0,75.0,"['http://www.basketball-reference.com/players/l/leegr01.html', IndexError('list index out of range',)]"
Keith Lee,1986,1989,F-C,6-10,215.0,1962-12-28,University of Memphis,/players/l/leeke01.html,leeke01,0,82.0,http://www.sports-reference.com/cbb/players/keith-lee-1.html
Kurk Lee,1991,1991,G,6-3,190.0,1967-06-03,Towson University,/players/l/leeku01.html,leeku01,0,75.0,http://www.sports-reference.com/cbb/players/kurk-lee-1.html
Malcolm Lee,2012,2015,G,6-5,200.0,1990-05-22,"University of California, Los Angeles",/players/l/leema01.html,leema01,0,77.0,http://www.sports-reference.com/cbb/players/malcolm-lee-1.html
Rock Lee,1982,1982,C,6-10,220.0,1955-05-01,San Diego State University,/players/l/leero02.html,leero02,0,82.0,http://www.sports-reference.com/cbb/players/rock-lee-1.html
Ron Lee,1977,1982,G,6-4,193.0,1952-11-02,University of Oregon,/players/l/leero01.html,leero01,0,76.0,http://www.sports-reference.com/cbb/players/ron-lee-1.html
Russ Lee,1973,1975,G-F,6-5,185.0,1950-01-27,Marshall University,/players/l/leeru01.html,leeru01,0,77.0,"['http://www.basketball-reference.com/players/l/leeru01.html', IndexError('list index out of range',)]"
Ed Leede,1950,1951,F-G,6-3,185.0,1927-07-17,Dartmouth College,/players/l/leedeed01.html,leedeed01,0,75.0,"['http://www.basketball-reference.com/players/l/leedeed01.html', IndexError('list index out of range',)]"
Hank Lefkowitz,1947,1947,F,6-2,190.0,1923-08-31,Case Western Reserve University,/players/l/lefkoha01.html,lefkoha01,0,74.0,"['http://www.basketball-reference.com/players/l/lefkoha01.html', IndexError('list index out of range',)]"
Tim Legler,1990,2000,G,6-4,200.0,1966-12-26,La Salle University,/players/l/legleti01.html,legleti01,0,76.0,http://www.sports-reference.com/cbb/players/tim-legler-1.html
George Lehmann,1968,1974,G,6-0,180.0,1942-05-01,Campbell University,/players/l/lehmage01.html,lehmage01,0,72.0,"['http://www.basketball-reference.com/players/l/lehmage01.html', IndexError('list index out of range',)]"
Alex Len,2014,2017,C,7-1,260.0,1993-06-16,University of Maryland,/players/l/lenal01.html,lenal01,0,85.0,http://www.sports-reference.com/cbb/players/alex-len-1.html
Voshon Lenard,1996,2006,G,6-4,205.0,1973-05-14,University of Minnesota,/players/l/lenarvo01.html,lenarvo01,0,76.0,http://www.sports-reference.com/cbb/players/voshon-lenard-1.html
Leary Lentz,1968,1969,F,6-6,200.0,1945-02-23,University of Houston,/players/l/lentzle01.html,lentzle01,0,78.0,"['http://www.basketball-reference.com/players/l/lentzle01.html', IndexError('list index out of range',)]"
Gary Leonard,1990,1992,C,7-1,250.0,1967-02-16,University of Missouri,/players/l/leonaga01.html,leonaga01,0,85.0,http://www.sports-reference.com/cbb/players/gary-leonard-1.html
Kawhi Leonard,2012,2017,F,6-7,230.0,1991-06-29,San Diego State University,/players/l/leonaka01.html,leonaka01,0,79.0,http://www.sports-reference.com/cbb/players/kawhi-leonard-1.html
Meyers Leonard,2013,2017,C-F,7-1,245.0,1992-02-27,University of Illinois at Urbana-Champaign,/players/l/leoname01.html,leoname01,0,85.0,http://www.sports-reference.com/cbb/players/meyers-leonard-1.html
Slick Leonard,1957,1963,G,6-3,185.0,1932-07-17,Indiana University,/players/l/leonasl01.html,leonasl01,1,75.0,"['http://www.basketball-reference.com/players/l/leonasl01.html', IndexError('list index out of range',)]"
Jim Les,1989,1995,G,5-11,165.0,1963-08-18,Bradley University,/players/l/lesji01.html,lesji01,0,71.0,http://www.sports-reference.com/cbb/players/jim-les-1.html
Travis Leslie,2012,2012,G,6-4,205.0,1990-03-29,University of Georgia,/players/l/leslitr01.html,leslitr01,0,76.0,http://www.sports-reference.com/cbb/players/travis-leslie-1.html
Ronnie Lester,1981,1986,G,6-2,175.0,1959-01-01,University of Iowa,/players/l/lestero01.html,lestero01,0,74.0,http://www.sports-reference.com/cbb/players/ronnie-lester-1.html
Clifford Lett,1990,1991,G,6-3,170.0,1965-12-23,University of Florida,/players/l/lettcl01.html,lettcl01,0,75.0,http://www.sports-reference.com/cbb/players/clifford-lett-1.html
Jon Leuer,2012,2017,F,6-10,228.0,1989-05-14,University of Wisconsin,/players/l/leuerjo01.html,leuerjo01,0,82.0,http://www.sports-reference.com/cbb/players/jon-leuer-1.html
Andrew Levane,1949,1953,F-G,6-2,190.0,1920-04-11,St. John's University,/players/l/levanan01.html,levanan01,0,74.0,"['http://www.basketball-reference.com/players/l/levanan01.html', IndexError('list index out of range',)]"
