Player,From,To,Pos,Ht,Wt,Birth_Date,College,Link,Bref_ID,HOF,Ht_Inches,cbb_info
James Augustine,2007,2008,F,6-10,235.0,1984-02-27,University of Illinois at Urbana-Champaign,/players/a/augusja01.html,augusja01,0,82.0,http://www.sports-reference.com/cbb/players/james-augustine-1.html
Isaac Austin,1992,2002,C,6-10,255.0,1969-08-18,Arizona State University,/players/a/austiis01.html,austiis01,0,82.0,http://www.sports-reference.com/cbb/players/isaac-austin-1.html
Johnny Austin,1967,1968,G,6-0,170.0,1944-08-31,Boston College,/players/a/austijo01.html,austijo01,0,72.0,"['http://www.basketball-reference.com/players/a/austijo01.html', IndexError('list index out of range',)]"
Ken Austin,1984,1984,F,6-9,205.0,1961-07-15,Rice University,/players/a/austike01.html,austike01,0,81.0,http://www.sports-reference.com/cbb/players/ken-austin-1.html
Anthony Avent,1993,2000,F,6-9,235.0,1969-10-18,Seton Hall University,/players/a/aventan01.html,aventan01,0,81.0,http://www.sports-reference.com/cbb/players/anthony-avent-1.html
Bird Averitt,1974,1978,G,6-1,170.0,1952-07-22,Pepperdine University,/players/a/averibi01.html,averibi01,0,73.0,"['http://www.basketball-reference.com/players/a/averibi01.html', IndexError('list index out of range',)]"
William Avery,2000,2002,G,6-2,197.0,1979-08-08,Duke University,/players/a/averywi01.html,averywi01,0,74.0,http://www.sports-reference.com/cbb/players/william-avery-1.html
Dennis Awtrey,1971,1982,C,6-10,235.0,1948-02-22,Santa Clara University,/players/a/awtrede01.html,awtrede01,0,82.0,http://www.sports-reference.com/cbb/players/dennis-awtrey-1.html
Gustavo Ayon,2012,2014,C,6-10,250.0,1985-04-01,,/players/a/ayongu01.html,ayongu01,0,82.0,"['http://www.basketball-reference.com/players/a/ayongu01.html', IndexError('list index out of range',)]"
Jeff Ayres,2010,2016,F,6-9,240.0,1987-04-29,Arizona State University,/players/p/pendeje02.html,pendeje02,0,81.0,http://www.sports-reference.com/cbb/players/jeff-pendergraph-1.html
Kelenna Azubuike,2007,2012,G,6-5,220.0,1983-12-16,University of Kentucky,/players/a/azubuke01.html,azubuke01,0,77.0,http://www.sports-reference.com/cbb/players/kelenna-azubuike-1.html
Chris Babb,2014,2014,G,6-5,225.0,1990-02-14,Iowa State University,/players/b/babbch01.html,babbch01,0,77.0,http://www.sports-reference.com/cbb/players/chris-babb-1.html
Luke Babbitt,2011,2017,F,6-9,225.0,1989-06-20,"University of Nevada, Reno",/players/b/babbilu01.html,babbilu01,0,81.0,http://www.sports-reference.com/cbb/players/luke-babbitt-1.html
Milos Babic,1991,1992,C-F,7-0,240.0,1968-11-23,Tennessee Technological University,/players/b/babicmi01.html,babicmi01,0,84.0,http://www.sports-reference.com/cbb/players/milos-babic-1.html
Johnny Bach,1949,1949,F-G,6-2,180.0,1924-07-10,Fordham University,/players/b/bachjo01.html,bachjo01,0,74.0,"['http://www.basketball-reference.com/players/b/bachjo01.html', IndexError('list index out of range',)]"
Henry Bacon,1973,1973,G,6-3,205.0,1948-07-05,University of Louisville,/players/b/baconhe01.html,baconhe01,0,75.0,"['http://www.basketball-reference.com/players/b/baconhe01.html', IndexError('list index out of range',)]"
Jim Baechtold,1953,1957,F-G,6-4,205.0,1927-12-09,Eastern Kentucky University,/players/b/baechji01.html,baechji01,0,76.0,"['http://www.basketball-reference.com/players/b/baechji01.html', IndexError('list index out of range',)]"
Dalibor Bagaric,2001,2003,C,7-1,255.0,1980-02-07,,/players/b/bagarda01.html,bagarda01,0,85.0,"['http://www.basketball-reference.com/players/b/bagarda01.html', IndexError('list index out of range',)]"
John Bagley,1983,1994,G,6-0,185.0,1960-04-23,Boston College,/players/b/baglejo01.html,baglejo01,0,72.0,http://www.sports-reference.com/cbb/players/john-bagley-1.html
Carl Bailey,1982,1982,C,7-0,210.0,1958-04-23,Tuskegee University,/players/b/baileca01.html,baileca01,0,84.0,"['http://www.basketball-reference.com/players/b/baileca01.html', IndexError('list index out of range',)]"
Gus Bailey,1975,1980,G-F,6-5,185.0,1951-02-18,University of Texas at El Paso,/players/b/bailegu01.html,bailegu01,0,77.0,http://www.sports-reference.com/cbb/players/gus-bailey-1.html
James Bailey,1980,1988,F-C,6-9,220.0,1957-05-21,Rutgers University,/players/b/baileja01.html,baileja01,0,81.0,http://www.sports-reference.com/cbb/players/james-bailey-1.html
Thurl Bailey,1984,1999,F-C,6-11,215.0,1961-04-07,North Carolina State University,/players/b/baileth01.html,baileth01,0,83.0,http://www.sports-reference.com/cbb/players/thurl-bailey-1.html
Toby Bailey,1999,2000,G,6-6,213.0,1975-11-19,"University of California, Los Angeles",/players/b/baileto01.html,baileto01,0,78.0,http://www.sports-reference.com/cbb/players/toby-bailey-1.html
Cameron Bairstow,2015,2016,F-C,6-9,250.0,1990-12-07,University of New Mexico,/players/b/bairsca01.html,bairsca01,0,81.0,http://www.sports-reference.com/cbb/players/cameron-bairstow-1.html
Jimmie Baker,1976,1976,F,6-9,220.0,1953-12-25,University of Hawaii,/players/b/bakerji01.html,bakerji01,0,81.0,"['http://www.basketball-reference.com/players/b/bakerji01.html', IndexError('list index out of range',)]"
LaMark Baker,1999,1999,G,6-1,175.0,1969-11-11,Ohio State University,/players/b/bakerla01.html,bakerla01,0,73.0,http://www.sports-reference.com/cbb/players/lamark-baker-1.html
Maurice Baker,2005,2005,G,6-1,175.0,1979-07-28,Oklahoma State University,/players/b/bakerma01.html,bakerma01,0,73.0,http://www.sports-reference.com/cbb/players/maurice-baker-1.html
Norm Baker,1947,1947,G,6-0,180.0,1923-02-17,,/players/b/bakerno01.html,bakerno01,0,72.0,"['http://www.basketball-reference.com/players/b/bakerno01.html', IndexError('list index out of range',)]"
Ron Baker,2017,2017,G,6-4,220.0,1993-03-30,Wichita State University,/players/b/bakerro01.html,bakerro01,0,76.0,http://www.sports-reference.com/cbb/players/ron-baker-1.html
Vin Baker,1994,2006,F,6-11,232.0,1971-11-23,University of Hartford,/players/b/bakervi01.html,bakervi01,0,83.0,http://www.sports-reference.com/cbb/players/vin-baker-1.html
Wade Baldwin,2017,2017,G,6-4,202.0,1996-03-29,Vanderbilt University,/players/b/baldwwa01.html,baldwwa01,0,76.0,http://www.sports-reference.com/cbb/players/wade-baldwin-1.html
Renaldo Balkman,2007,2012,F,6-8,208.0,1984-07-14,University of South Carolina,/players/b/balkmre01.html,balkmre01,0,80.0,http://www.sports-reference.com/cbb/players/renaldo-balkman-1.html
Cedric Ball,1991,1991,F,6-8,210.0,1968-04-16,University of North Carolina at Charlotte,/players/b/ballce01.html,ballce01,0,80.0,http://www.sports-reference.com/cbb/players/cedric-ball-1.html
Greg Ballard,1978,1989,F,6-7,215.0,1955-01-29,University of Oregon,/players/b/ballagr01.html,ballagr01,0,79.0,http://www.sports-reference.com/cbb/players/greg-ballard-1.html
Herschel Baltimore,1947,1947,F,6-4,195.0,1921-06-21,Pennsylvania State University,/players/b/baltihe01.html,baltihe01,0,76.0,"['http://www.basketball-reference.com/players/b/baltihe01.html', IndexError('list index out of range',)]"
Gene Banks,1982,1987,F-G,6-7,215.0,1959-05-15,Duke University,/players/b/banksge01.html,banksge01,0,79.0,http://www.sports-reference.com/cbb/players/gene-banks-1.html
Marcus Banks,2004,2011,G,6-2,200.0,1981-11-19,"University of Nevada, Las Vegas",/players/b/banksma01.html,banksma01,0,74.0,http://www.sports-reference.com/cbb/players/marcus-banks-1.html
Walker Banks,1971,1971,C,6-10,205.0,1947-08-26,Western Kentucky University,/players/b/bankswa01.html,bankswa01,0,82.0,"['http://www.basketball-reference.com/players/b/bankswa01.html', IndexError('list index out of range',)]"
Ken Bannister,1985,1991,F-C,6-9,235.0,1960-04-01,Saint Augustine's College,/players/b/bannike01.html,bannike01,0,81.0,"['http://www.basketball-reference.com/players/b/bannike01.html', IndexError('list index out of range',)]"
Mike Bantom,1974,1982,F-C,6-9,200.0,1951-12-03,Saint Joseph's University,/players/b/bantomi01.html,bantomi01,0,81.0,http://www.sports-reference.com/cbb/players/mike-bantom-1.html
John Barber,1957,1957,F,6-6,210.0,1927-06-27,"California State University, Los Angeles",/players/b/barbejo01.html,barbejo01,0,78.0,"['http://www.basketball-reference.com/players/b/barbejo01.html', IndexError('list index out of range',)]"
Leandro Barbosa,2004,2017,G,6-3,194.0,1982-11-28,,/players/b/barbole01.html,barbole01,0,75.0,"['http://www.basketball-reference.com/players/b/barbole01.html', IndexError('list index out of range',)]"
Steve Bardo,1992,1996,G,6-5,190.0,1968-04-05,University of Illinois at Urbana-Champaign,/players/b/bardost01.html,bardost01,0,77.0,http://www.sports-reference.com/cbb/players/steve-bardo-1.html
J.J. Barea,2007,2017,G,6-0,185.0,1984-06-26,Northeastern University,/players/b/bareajo01.html,bareajo01,0,72.0,http://www.sports-reference.com/cbb/players/jose-barea-1.html
Andrea Bargnani,2007,2016,F-C,7-0,245.0,1985-10-26,,/players/b/bargnan01.html,bargnan01,0,84.0,"['http://www.basketball-reference.com/players/b/bargnan01.html', IndexError('list index out of range',)]"
Cliff Barker,1950,1952,G,6-2,185.0,1921-01-15,University of Kentucky,/players/b/barkecl01.html,barkecl01,0,74.0,"['http://www.basketball-reference.com/players/b/barkecl01.html', IndexError('list index out of range',)]"
Tom Barker,1977,1979,C-F,6-11,225.0,1955-03-11,University of Hawaii,/players/b/barketo01.html,barketo01,0,83.0,"['http://www.basketball-reference.com/players/b/barketo01.html', IndexError('list index out of range',)]"
Charles Barkley,1985,2000,F,6-6,252.0,1963-02-20,Auburn University,/players/b/barklch01.html,barklch01,1,78.0,http://www.sports-reference.com/cbb/players/charles-barkley-1.html
Erick Barkley,2001,2002,G,6-1,177.0,1978-02-21,St. John's University,/players/b/barkler01.html,barkler01,0,73.0,http://www.sports-reference.com/cbb/players/erick-barkley-1.html
Don Barksdale,1952,1955,F-C,6-6,200.0,1923-03-31,"University of California, Los Angeles",/players/b/barksdo01.html,barksdo01,1,78.0,"['http://www.basketball-reference.com/players/b/barksdo01.html', IndexError('list index out of range',)]"
Harrison Barnes,2013,2017,F,6-8,210.0,1992-05-30,University of North Carolina,/players/b/barneha02.html,barneha02,0,80.0,http://www.sports-reference.com/cbb/players/harrison-barnes-1.html
Harry Barnes,1969,1969,F,6-3,205.0,1945-07-25,Northeastern University,/players/b/barneha01.html,barneha01,0,75.0,"['http://www.basketball-reference.com/players/b/barneha01.html', IndexError('list index out of range',)]"
Jim Barnes,1965,1971,C-F,6-8,210.0,1941-04-13,University of Texas at El Paso,/players/b/barneji01.html,barneji01,0,80.0,"['http://www.basketball-reference.com/players/b/barneji01.html', IndexError('list index out of range',)]"
Marvin Barnes,1975,1980,F-C,6-8,210.0,1952-07-27,Providence College,/players/b/barnema01.html,barnema01,0,80.0,http://www.sports-reference.com/cbb/players/marvin-barnes-1.html
Matt Barnes,2004,2017,F,6-7,226.0,1980-03-09,"University of California, Los Angeles",/players/b/barnema02.html,barnema02,0,79.0,http://www.sports-reference.com/cbb/players/matt-barnes-1.html
Dick Barnett,1960,1974,G-F,6-4,190.0,1936-10-02,Tennessee State University,/players/b/barnedi01.html,barnedi01,0,76.0,"['http://www.basketball-reference.com/players/b/barnedi01.html', IndexError('list index out of range',)]"
Jim Barnett,1967,1977,G-F,6-4,170.0,1944-07-07,University of Oregon,/players/b/barneji02.html,barneji02,0,76.0,"['http://www.basketball-reference.com/players/b/barneji02.html', IndexError('list index out of range',)]"
Nathaniel Barnett,1976,1976,G,6-3,175.0,1953-01-29,University of Akron,/players/b/barnena01.html,barnena01,0,75.0,"['http://www.basketball-reference.com/players/b/barnena01.html', IndexError('list index out of range',)]"
John Barnhill,1963,1972,G,6-1,180.0,1938-03-20,Tennessee State University,/players/b/barnhjo01.html,barnhjo01,0,73.0,"['http://www.basketball-reference.com/players/b/barnhjo01.html', IndexError('list index out of range',)]"
Norton Barnhill,1977,1977,G,6-4,205.0,1953-07-15,Washington State University,/players/b/barnhno01.html,barnhno01,0,76.0,"['http://www.basketball-reference.com/players/b/barnhno01.html', IndexError('list index out of range',)]"
Leo Barnhorst,1950,1954,F-G,6-4,190.0,1924-05-11,University of Notre Dame,/players/b/barnhle01.html,barnhle01,0,76.0,"['http://www.basketball-reference.com/players/b/barnhle01.html', IndexError('list index out of range',)]"
John Barr,1947,1947,F,6-3,205.0,1918-08-08,Pennsylvania State University,/players/b/barrjo01.html,barrjo01,0,75.0,"['http://www.basketball-reference.com/players/b/barrjo01.html', IndexError('list index out of range',)]"
Mike Barr,1973,1977,G,6-3,180.0,1950-10-19,Duquesne University,/players/b/barrmi01.html,barrmi01,0,75.0,"['http://www.basketball-reference.com/players/b/barrmi01.html', IndexError('list index out of range',)]"
Moe Barr,1971,1971,G,6-4,195.0,1944-06-19,Duquesne University,/players/b/barrmo01.html,barrmo01,0,76.0,"['http://www.basketball-reference.com/players/b/barrmo01.html', IndexError('list index out of range',)]"
Andre Barrett,2005,2008,G,5-10,172.0,1982-02-21,Seton Hall University,/players/b/barrean01.html,barrean01,0,70.0,http://www.sports-reference.com/cbb/players/andre-barrett-1.html
Ernie Barrett,1954,1956,G-F,6-3,180.0,1929-08-27,Kansas State University,/players/b/barreer01.html,barreer01,0,75.0,"['http://www.basketball-reference.com/players/b/barreer01.html', IndexError('list index out of range',)]"
Mike Barrett,1970,1973,G,6-2,155.0,1943-09-05,West Virginia University Institute of Technology,/players/b/barremi01.html,barremi01,0,74.0,"['http://www.basketball-reference.com/players/b/barremi01.html', IndexError('list index out of range',)]"
Earl Barron,2006,2015,C,7-0,250.0,1981-08-14,University of Memphis,/players/b/barroea01.html,barroea01,0,84.0,http://www.sports-reference.com/cbb/players/earl-barron-1.html
Dana Barros,1990,2004,G,5-11,163.0,1967-04-13,Boston College,/players/b/barroda01.html,barroda01,0,71.0,http://www.sports-reference.com/cbb/players/dana-barros-1.html
Brent Barry,1996,2009,G,6-6,185.0,1971-12-31,Oregon State University,/players/b/barrybr01.html,barrybr01,0,78.0,http://www.sports-reference.com/cbb/players/brent-barry-1.html
Drew Barry,1998,2000,G,6-5,191.0,1973-02-17,Georgia Institute of Technology,/players/b/barrydr01.html,barrydr01,0,77.0,http://www.sports-reference.com/cbb/players/drew-barry-1.html
Jon Barry,1993,2006,G,6-4,195.0,1969-07-25,Georgia Institute of Technology,/players/b/barryjo01.html,barryjo01,0,76.0,http://www.sports-reference.com/cbb/players/jon-barry-1.html
Rick Barry,1966,1980,F,6-7,205.0,1944-03-28,University of Miami,/players/b/barryri01.html,barryri01,1,79.0,http://www.sports-reference.com/cbb/players/rick-barry-1.html
Ed Bartels,1950,1951,F,6-5,195.0,1925-10-08,North Carolina State University,/players/b/barteed01.html,barteed01,0,77.0,"['http://www.basketball-reference.com/players/b/barteed01.html', IndexError('list index out of range',)]"
Vic Bartolome,1972,1972,C,7-0,230.0,1948-09-29,Oregon State University,/players/b/bartovi01.html,bartovi01,0,84.0,"['http://www.basketball-reference.com/players/b/bartovi01.html', IndexError('list index out of range',)]"
Will Barton,2013,2017,G,6-6,175.0,1991-01-06,University of Memphis,/players/b/bartowi01.html,bartowi01,0,78.0,http://www.sports-reference.com/cbb/players/will-barton-1.html
Eddie Basden,2006,2006,G,6-5,215.0,1983-02-15,University of North Carolina at Charlotte,/players/b/basdeed01.html,basdeed01,0,77.0,http://www.sports-reference.com/cbb/players/eddie-basden-1.html
Jerry Baskerville,1976,1976,F,6-7,190.0,1951-11-10,Temple University,/players/b/baskeje01.html,baskeje01,0,79.0,"['http://www.basketball-reference.com/players/b/baskeje01.html', IndexError('list index out of range',)]"
Brandon Bass,2006,2017,F,6-8,250.0,1985-04-30,Louisiana State University,/players/b/bassbr01.html,bassbr01,0,80.0,http://www.sports-reference.com/cbb/players/brandon-bass-1.html
Tim Bassett,1974,1980,F-C,6-8,225.0,1951-04-01,University of Georgia,/players/b/basseti01.html,basseti01,0,80.0,http://www.sports-reference.com/cbb/players/tim-bassett-1.html
Maceo Baston,2003,2009,F,6-9,215.0,1975-05-29,University of Michigan,/players/b/bastoma01.html,bastoma01,0,81.0,http://www.sports-reference.com/cbb/players/maceo-baston-1.html
Mengke Bateer,2002,2004,C,6-11,290.0,1975-11-20,,/players/b/bateeme01.html,bateeme01,0,83.0,"['http://www.basketball-reference.com/players/b/bateeme01.html', IndexError('list index out of range',)]"
Billy Ray Bates,1980,1983,G,6-4,210.0,1956-05-31,Kentucky State University,/players/b/batesbi01.html,batesbi01,0,76.0,"['http://www.basketball-reference.com/players/b/batesbi01.html', IndexError('list index out of range',)]"
Esteban Batista,2006,2007,F-C,6-10,270.0,1983-09-02,,/players/b/batises01.html,batises01,0,82.0,"['http://www.basketball-reference.com/players/b/batises01.html', IndexError('list index out of range',)]"
Mike Batiste,2003,2003,F,6-8,225.0,1977-11-21,Arizona State University,/players/b/batismi01.html,batismi01,0,80.0,http://www.sports-reference.com/cbb/players/mike-batiste-1.html
Tony Battie,1998,2012,C-F,6-11,230.0,1976-02-11,Texas Tech University,/players/b/battito01.html,battito01,0,83.0,http://www.sports-reference.com/cbb/players/tony-battie-1.html
Shane Battier,2002,2014,F,6-8,220.0,1978-09-09,Duke University,/players/b/battish01.html,battish01,0,80.0,http://www.sports-reference.com/cbb/players/shane-battier-1.html
