Bref_ID,Sref_Cbb_ID
carlich01,
carlige01,geno-carlisle-1
carliri01,rick-carlisle-1
carlodo01,
carlsal01,
carlsdo01,
carnebo01,
carnero01,rodney-carney-1
carpebo01,
carran01,antoine-carr-1
carrau01,austin-carr-1
carrch01,chris-carr-1
carrco01,cory-carr-1
carrke01,kenny-carr-1
carrml01,
carrida01,
carribo01,bob-carrington-1
carrode01,demarre-carroll-1
carrojo01,joe-barry-carroll-1
carroma01,matt-carroll-1
carruji01,jimmy-carruth-1
cartean01,anthony-carter-1
cartebu01,butch-carter-1
cartefr01,
cartege01,
carteho01,howard-carter-1
carteja01,
cartema01,maurice-carter-1
cartere01,reggie-carter-1
cartero01,ron-carter-1
cartevi01,vince-carter-1
cartemi01,michael-carter-williams-1
cartwbi01,bill-cartwright-1
cartyja01,
cashco01,
cashsa01,
cassesa01,sam-cassell-1
casspom01,
catchha01,
catlete01,terry-catledge-1
catlesi01,
catoke01,kelvin-cato-1
cattabo01,bobby-cattage-1
caulewi01,willie-cauley-stein-1
causwdu01,duane-causwell-1
cavenro01,ron-cavenall-1
cebalce01,cedric-ceballos-1
celesjo01,john-celestand-1
cervial01,
chalmli01,lionel-chalmers-1
chalmma01,mario-chalmers-1
chambbi01,
chambwi01,wilt-chamberlain-1
chambje01,
chambto01,tom-chambers-1
champmi01,mike-champion-1
chandty01,
chandwi01,wilson-chandler-1
chanedo01,don-chaney-1
chanejo01,
chapmre01,rex-chapman-1
chapmwa01,
chapple01,
charlke01,
charllo01,lorenzo-charles-1
cheanca01,calbert-cheaney-1
cheekma01,maurice-cheeks-1
cheniph01,phil-chenier-1
cherrwi01,will-cherry-1
chievde01,derrick-chievous-1
chilcpe01,pete-chilcutt-1
childjo01,josh-childress-1
childra01,randolph-childress-1
childch01,chris-childs-1
chollle01,
choneji01,jim-chones-1
chrisma01,marquese-chriss-1
chrisfr01,
chrisca01,
chrisbo01,
chrisdo01,doug-christie-1
chrisdi01,dionte-christmas-1
chrisra01,rakeem-christmas-1
chrisse01,semaj-christon-1
chrispa01,patrick-christopher-1
chubist01,
churcro01,robert-churchwell-1
clarkar01,
clarkca01,carlos-clark-1
clarkea01,earl-clark-1
clarkia01,ian-clark-1
clarkke01,keon-clark-1
clarkri01,
clarkco01,coty-clarke-1
clarkjo01,jordan-clarkson-1
clavevi01,
clawsjo01,
claxtch01,charles-claxton-1
claxtsp01,speedy-claxton-1
cleamji01,jim-cleamons-1
cleavma01,mateen-cleaves-1
clemeba01,
cliftna01,
clossbi01,
closske01,keith-closs-1
cloydpa01,
cluggbo01,
clydebe01,
cofferi01,richard-coffey-1
cofiefr01,fred-cofield-1
cokerjo01,john-coker-1
coleno01,norris-cole-1
colembe01,ben-coleman-1
colemde01,derrick-coleman-1
colemec01,
colemja01,
colemno01,norris-coleman-1
colesbi01,bimbo-coles-1
collija02,jason-collier-1
colliar01,
collido02,don-collins-1
collido01,doug-collins-1
collija01,james-collins-1
collija03,jarron-collins-1
collija04,jason-collins-1
colliji01,
collima01,mardy-collins-1
collish01,sherron-collins-1
collida01,darren-collison-1
collini01,nick-collison-1
colonjo01,
colsose01,sean-colson-1
coltest01,steve-colter-1
combsgl01,
combsle01,leroy-combs-1
comeajo01,
comegda01,dallas-comegys-1
comlela01,
congdje01,
conlege01,gene-conley-1
conlela01,
conlemi01,mike-conley-1
conlied01,
conloma01,marty-conlon-1
connapa01,pat-connaughton-1
conneji01,
connele01,lester-conner-1
connoch01,
conrowi01,will-conroy-1
cookan01,anthony-cook-1
cookbe01,
cookbo01,
cookbr01,brian-cook-1
cookda02,daequan-cook-1
cookda01,darwin-cook-1
cookje01,jeff-cook-1
cookno01,
cookom01,omar-cook-1
